row_number,ground_truth_path,prompt,difficulty_level,resources,resource_count,loc,parameter_count,user_intent,user_intent_file_path,user_intent_id,needed_resources
10,Data\groud_truth\template\EC2_Instance_With_Ephemeral_Drives.yaml,We need a CloudFormation template that creates an EC2 instance with ephemeral drives attached using EC2 block device mappings that is able to deploy on AWS successfully. This template should automatically fetch the latest Amazon Linux 2 AMI via SSM Parameter Store and create an SSH key pair for secure access. Note the template should deploy the EC2 in pre-exist default vpc/subnet.,2,"AWS::EC2::KeyPair, AWS::EC2::Instance, AWS::EC2::SecurityGroup",3,97,3,,,,
11,Data\groud_truth\template\dynamo.yaml,We need a CloudFormation template that creates a DynamoDB table for mobile notifications reporting. The DynamoDB table should has a global secondary index on `type` and `sentTime` for time-based queries. Configure pay-per-request billing for cost efficiency with unpredictable workloads and TTL auto-expiry for automatic cleanup of stale data. ,1,AWS::DynamoDB::Table,1,43,1,1,Data\user_intent\row_11.yaml,UIV_CUSTOM_ROW_11,AWS::DynamoDB::Table
12,Data\groud_truth\template\EIP_With_Association.yaml,We need a CloudFormation template that creates an EC2 instance with an Elastic IP address and SSH access controls associated that is able to deploy on AWS successfully. Note the EC2 instance can just create in the default vpc/subnet.,3,"AWS::EC2::Instance, AWS::EC2::SecurityGroup, AWS::EC2::EIP, AWS::EC2::EIPAssociation",4,100,3,,,,
13,Data\groud_truth\template\InstanceWithCfnInit.yaml,"We need a CloudFormation template that creates EC2 instance with cfn-init and cfn-signal that is able to deploy on AWS successfully. The solution should deploy an EC2 instance preconfigured with Apache HTTP Server via `cfn-init` package installation and service setup. Automate web server initialization by creating a sample `index.html` page and configuring `cfn-hup` for metadata updates, enabling automatic reconfiguration if stack parameters change. Use a CreationPolicy with ResourceSignal to pause stack creation until `cfn-signal` confirms successful instance bootstrapping (timeout: 5 minutes), preventing incomplete deployments.  ",2,AWS::EC2::Instance,1,64,0,,,,
14,Data\groud_truth\template\SingleENIwithMultipleEIPs.yaml,We need a CloudFormation template that creates a single Elastic Network Interface (ENI) with two Elastic IPs (EIPs) and secondary private IPs which enables a single EC2 instance (not explicitly defined) to handle multiple public-facing IP addresses through one network interface.,4,"AWS::EC2::VPC, AWS::EC2::InternetGateway, AWS::EC2::VPCGatewayAttachment, AWS::EC2::Subnet, AWS::EC2::EIP, AWS::EC2::EIP, AWS::EC2::EIPAssociation, AWS::EC2::EIPAssociation, AWS::EC2::NetworkInterface",9,64,0,4,"Data\user_intent\row_14A.yaml, user_intent\row_14B.yaml ","UIV_CUSTOM_ROW_14A, UIV_CUSTOM_ROW_14B","AWS::EC2::VPC, AWS::EC2::InternetGateway, AWS::EC2::VPCGatewayAttachment, AWS::EC2::Subnet, AWS::EC2::EIP, AWS::EC2::EIP, AWS::EC2::EIPAssociation, AWS::EC2::EIPAssociation, AWS::EC2::NetworkInterface"
15,Data\groud_truth\template\apigateway_lambda_integration.yaml,We need a CloudFormation template that creates an API Gateway with lambda non-proxy integration for RESTApi that is able to deploy on AWS successfully.,3,"AWS::ApiGateway::RestApi, AWS::ApiGateway::Resource, AWS::ApiGateway::Model, AWS::ApiGateway::Method, AWS::Lambda::Function, AWS::IAM::Role, AWS::Lambda::Permission",7,148,3,,,,
16,Data\groud_truth\template\glue-for-cloudtrail.yaml,"We need a CloudFormation template that creates AWS Glue resources for crawling and cataloging CloudTrail logs stored in S3 which attempts to enable structured querying via Athena. The solution should deploy a Glue Database and Crawler to analyze CloudTrail logs in an S3 bucket (`s3://kk-admin/cloud-trail/AWSLogs/`), automatically inferring schemas and creating metadata tables. Define crawler settings to handle schema updates and prefix tables with `cloudtrail_` for organizational clarity.  ",2,"AWS::Glue::Database, AWS::Glue::Crawler, AWS::IAM::Role",3,61,0,,,,
17,Data\groud_truth\template\billing-alarms.yaml,"We need a CloudFormation template that creates multi-threshold AWS billing alarms using CloudWatch and SNS which monitor monthly AWS costs and send email alerts when spending exceeds predefined levels. The solution should deploy four CloudWatch alarms tracking the `EstimatedCharges` metric, triggering at $5, $10, $20, and $40 thresholds respectively. Configure an SNS topic with an email subscription to notify email address (xxxxx@gmail.com) when any alarm threshold is breached. Please monitor charges with alarms evaluated every 6 hours to balance responsiveness and noise reduction. ",3,"AWS::CloudWatch::Alarm, AWS::CloudWatch::Alarm, AWS::CloudWatch::Alarm, AWS::CloudWatch::Alarm, AWS::SNS::Topic",5,84,1,,,,
18,Data\groud_truth\template\dynamodb_with_eventbridge.yaml,"We need a CloudFormation template that creates an integration between DynamoDB streams and Amazon EventBridge to automate event-driven workflows based on specific data changes. The template must configure an EventBridge Pipe to filter DynamoDB stream events (e.g., when a user's 'avatarUrl' field ends with '.png') and route matching events to the bus with predefined metadata (`DetailType` and `Source`). ",3,"AWS::DynamoDB::Table, AWS::Events::EventBus, AWS::IAM::Role, AWS::Pipes::Pipe",4,77,0,3,Data\user_intent\row_18.yaml,UIV_CUSTOM_ROW_18,"AWS::DynamoDB::Table, AWS::Events::EventBus, AWS::IAM::Role, AWS::Pipes::Pipe"
19,Data\groud_truth\template\eventbridge.yaml,"We need a CloudFormation template that creates an Amazon EventBridge configuration to route custom events to an external API endpoint via HTTPS. The template should deploy an EventBridge event bus, an API destination ('https://webhook.site/testtest'), and a connection secured by an API key for authentication. ",3,"AWS::Events::EventBus, AWS::Events::Connection, AWS::Events::ApiDestination, AWS::IAM::Role, AWS::Events::Rule",5,80,1,,,,
20,Data\groud_truth\template\CloudWatch_Dashboard_ClientVPN.yaml,"We need a CloudFormation template that creates a CloudWatch Dashboard and a set of CloudWatch Logs Insights queries to monitor and analyze AWS Client VPN usage patterns. The solution should aggregate metrics such as connection durations, data transfer volumes (ingress/egress), and user activity across different authentication methods (AD/SAML, Mutual Auth, and Mixed Auth). The template must organize queries into a logical folder structure and display results in a centralized dashboard with tables showing endpoint-specific usage, distinct user statistics, and authentication-type breakdowns.",5,"AWS::Logs::QueryDefinition, AWS::Logs::QueryDefinition, AWS::Logs::QueryDefinition, AWS::Logs::QueryDefinition, AWS::Logs::QueryDefinition, AWS::Logs::QueryDefinition, AWS::Logs::QueryDefinition, AWS::Logs::QueryDefinition, AWS::Logs::QueryDefinition, AWS::Logs::QueryDefinition, AWS::Logs::QueryDefinition, AWS::Logs::QueryDefinition, AWS::Logs::QueryDefinition, AWS::CloudWatch::Dashboard",14,344,2,5,Data\user_intent\row_20.yaml,UIV_CUSTOM_ROW_20,"AWS::Logs::QueryDefinition, AWS::Logs::QueryDefinition, AWS::CloudWatch::Dashboard"
21,Data\groud_truth\template\ts_tables.yaml,"We need a CloudFormation template that creates an Amazon Timestream database and tables with configurable retention policies and error handling. The template should define four tables (poc-table-01-batch-write, poc-table-02-older-records-memonly, poc-table-03-older-records-magnetic, poc-table-04-common-attributes).",3,"AWS::Timestream::Database, AWS::Timestream::Table, AWS::Timestream::Table, AWS::S3::Bucket, AWS::Timestream::Table, AWS::Timestream::Table",6,54,0,,,,
22,Data\groud_truth\template\DynamoDB_Secondary_Indexes.yaml,We need a CloudFormation template that creates a DynamoDB table with local and global secondary indexes.,2,AWS::DynamoDB::Table,1,63,2,,,,
23,Data\groud_truth\template\DynamoDB_Table.yaml,We need a CloudFormation template that creates a DynamoDB table. ,2,AWS::DynamoDB::Table,1,53,4,,,,
24,Data\groud_truth\template\Elasticache-snapshot.yaml,"We need a CloudFormation template that creates a VPC containing two subnets and an auto scaling group containing instances with Internet access and ElastiCache configured with automated snapshot management and failover capabilities. It must allow optional configuration of snapshot retention policies, with a Lambda function and IAM role to enable/disable snapshotting dynamically. The template should enforce minimal infrastructure costs by defaulting to the `cache.m3.medium` instance type and include regional AZ mappings for subnet placement. ",5,"AWS::EC2::VPC, AWS::EC2::InternetGateway, AWS::EC2::Route, AWS::EC2::VPCGatewayAttachment, AWS::EC2::RouteTable, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::SubnetRouteTableAssociation, AWS::ElastiCache::ParameterGroup, AWS::ElastiCache::SubnetGroup, AWS::EC2::SecurityGroup, AWS::ElastiCache::ReplicationGroup, AWS::IAM::Role, AWS::Lambda::Permission, Custom::Region, AWS::Lambda::Function",17,202,4,,,,
25,Data\groud_truth\template\iot_sns_sqs.yaml,"We need a CloudFormation template that creates an IoT data pipeline to route messages from AWS IoT Core to an SQS queue via SNS. The template should deploy an SQS queue to store messages, an SNS topic to act as a pub/sub intermediary, and an IoT Rule to capture messages from the `device/data` MQTT topic. ",3,"AWS::SQS::Queue, AWS::SNS::Topic, AWS::SNS::Subscription, AWS::SQS::QueuePolicy, AWS::IoT::TopicRule, AWS::IAM::Role, AWS::IAM::Policy",7,69,0,,,,
26,Data\groud_truth\template\s3_sns.yaml,"We need a CloudFormation template that creates an S3 bucket integrated with Amazon EventBridge and SNS to notify subscribers about object creation events. The template should deploy an S3 bucket configured to send events to EventBridge, an SNS topic for message distribution, and an EventBridge rule that triggers on `Object Created` events from the bucket.",3,"AWS::S3::Bucket, AWS::SNS::Topic, AWS::Events::Rule, AWS::SNS::TopicPolicy",4,58,0,,,,
27,Data\groud_truth\template\sam_kinesis.yaml,"We need a CloudFormation template that creates a real-time data ingestion and storage pipeline using Amazon Kinesis Data Stream and Kinesis Data Firehose, which delivers the data to an S3 bucket. ",3,"AWS::S3::Bucket, AWS::Kinesis::Stream, AWS::KinesisFirehose::DeliveryStream, AWS::IAM::Policy, AWS::IAM::Role",5,85,0,3,Data\user_intent\row_27A.yaml,UIV_CUSTOM_ROW_27A,"AWS::S3::Bucket, AWS::Kinesis::Stream, AWS::KinesisFirehose::DeliveryStream, AWS::IAM::Role"
28,Data\groud_truth\template\sns_for_secret_manager.yaml,"We need a CloudFormation template that creates an automated monitoring and notification system for AWS Secrets Manager secret lifecycle events, which sends alerts via Amazon SNS when secrets are created, updated, or accessed. ",2,"AWS::Events::Rule, AWS::SNS::Topic, AWS::SNS::TopicPolicy",3,77,1,,,,
29,Data\groud_truth\template\parameter-store-demo.yaml,"We need a CloudFormation template that creates secure parameter storage and retrieval workflows using AWS Systems Manager (SSM) Parameter Store and Secrets Manager which demonstrates centralized configuration management for serverless applications. The solution should define SSM Parameters under a stack-specific namespace to store non-sensitive configuration values (e.g., ""This is A/B""). Generate a Secrets Manager secret with a dynamically created password and predefined username, enforcing security constraints (e.g., excluded characters). Deploy a Lambda function to fetch and decrypt parameters/secrets using Boto3, showcasing path-based SSM parameter retrieval and Secrets Manager secret decryption workflows. Attach IAM roles/policies to grant the Lambda permissions for SSM, Secrets Manager, and CloudWatch logging, ensuring least-privilege access.",3,"AWS::SSM::Parameter, AWS::SSM::Parameter, AWS::SecretsManager::Secret, AWS::Lambda::Function, AWS::IAM::Role, AWS::IAM::Policy",6,117,0,,,,
30,Data\groud_truth\template\efs-provisioned.yaml,"We need a CloudFormation template that creates a EFS file system with cross-AZ EC2 instances and performance monitoring which provides shared storage for applications requiring multi-AZ accessibility. The solution should also launch two EC2 instances in separate AZs with IAM roles granting EFS access and SSM permissions, automating EFS mounting via user data scripts that retry until mount targets are available. Configure CloudWatch alarms to monitor EFS I/O limits and throughput utilization, triggering alerts at 95% I/O limit and 80% throughput thresholds. Note to establish a VPC with public subnets, internet gateway, and network ACLs to support EFS and EC2 connectivity while enforcing security group rules for controlled NFS access. Use cfn-signal and CreationPolicies to ensure instances successfully mount EFS before stack completion, avoiding partial deployments.  ",5,"AWS::EC2::VPC, AWS::EC2::InternetGateway, AWS::EC2::VPCGatewayAttachment, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::EC2::RouteTable, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::Route, AWS::EC2::NetworkAcl, AWS::EC2::SubnetNetworkAclAssociation, AWS::EC2::SubnetNetworkAclAssociation, AWS::EC2::NetworkAclEntry, AWS::EC2::NetworkAclEntry, AWS::EFS::FileSystem, AWS::EC2::SecurityGroup, AWS::EC2::SecurityGroup, AWS::EFS::MountTarget, AWS::EFS::MountTarget, AWS::IAM::Role, AWS::IAM::InstanceProfile, AWS::EC2::Instance, AWS::EC2::Instance, AWS::CloudWatch::Alarm, AWS::CloudWatch::Alarm",25,351,0,5,"Data\user_intent\row_30A.yaml, user_intent\row_30B.yaml ","UIV_CUSTOM_ROW_30A, UIV_CUSTOM_ROW_30B","AWS::EC2::VPC, AWS::EC2::InternetGateway, AWS::EC2::VPCGatewayAttachment, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::EC2::RouteTable, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::Route, AWS::EC2::NetworkAcl, AWS::EC2::SubnetNetworkAclAssociation, AWS::EC2::SubnetNetworkAclAssociation, AWS::EC2::NetworkAclEntry, AWS::EC2::NetworkAclEntry, AWS::EFS::FileSystem, AWS::EC2::SecurityGroup, AWS::EC2::SecurityGroup, AWS::EFS::MountTarget, AWS::EFS::MountTarget, AWS::IAM::Role, AWS::IAM::InstanceProfile, AWS::EC2::Instance, AWS::EC2::Instance, AWS::CloudWatch::Alarm, AWS::CloudWatch::Alarm"
31,Data\groud_truth\template\codedeploy.yaml,"We need a CloudFormation template that creates an automated deployment pipeline for the Etherpad application using AWS CodeDeploy. The template should deploy Etherpad on EC2 instances within an Auto Scaling group across two subnets, fronted by an internet-facing Application Load Balancer for traffic distribution. It must provision a MySQL RDS instance for database storage and integrate AWS Systems Manager (SSM) for secure parameter storage. The solution should automate instance provisioning with a launch template that installs dependencies (Node.js, CodeDeploy agent) and signals CloudFormation upon readiness. An S3 bucket stores deployment artifacts, while CodeDeploy resources manage application updates. ",5,"AWS::EC2::VPC, AWS::EC2::InternetGateway, AWS::EC2::VPCGatewayAttachment, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::EC2::RouteTable, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::Route, AWS::EC2::NetworkAcl, AWS::EC2::SubnetNetworkAclAssociation, AWS::EC2::SubnetNetworkAclAssociation, AWS::EC2::NetworkAclEntry, AWS::EC2::NetworkAclEntry, AWS::ElasticLoadBalancingV2::LoadBalancer, AWS::ElasticLoadBalancingV2::Listener, AWS::ElasticLoadBalancingV2::TargetGroup, AWS::EC2::SecurityGroup, AWS::EC2::SecurityGroup, AWS::IAM::InstanceProfile, AWS::IAM::Role, AWS::EC2::LaunchTemplate, AWS::AutoScaling::AutoScalingGroup, AWS::EC2::SecurityGroup, AWS::RDS::DBInstance, AWS::RDS::DBSubnetGroup, AWS::S3::Bucket, AWS::CodeDeploy::Application, AWS::CodeDeploy::DeploymentGroup, AWS::IAM::Role, AWS::SSM::Parameter",31,340,0,5,"Data\user_intent\row_31A.yaml, user_intent\row_31B.yaml, user_intent\row_31C.yaml, user_intent\row_31D.yaml ","UIV_CUSTOM_ROW_31A, UIV_CUSTOM_ROW_31B, UIV_CUSTOM_ROW_31C, UIV_CUSTOM_ROW_31D","AWS::EC2::VPC, AWS::EC2::InternetGateway, AWS::EC2::VPCGatewayAttachment, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::EC2::RouteTable, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::Route, AWS::EC2::NetworkAcl, AWS::EC2::SubnetNetworkAclAssociation, AWS::EC2::SubnetNetworkAclAssociation, AWS::EC2::NetworkAclEntry, AWS::EC2::NetworkAclEntry, AWS::ElasticLoadBalancingV2::LoadBalancer, AWS::ElasticLoadBalancingV2::Listener, AWS::ElasticLoadBalancingV2::TargetGroup, AWS::EC2::SecurityGroup, AWS::EC2::SecurityGroup, AWS::IAM::InstanceProfile, AWS::IAM::Role, AWS::EC2::LaunchTemplate, AWS::AutoScaling::AutoScalingGroup, AWS::EC2::SecurityGroup, AWS::RDS::DBInstance, AWS::RDS::DBSubnetGroup, AWS::S3::Bucket, AWS::CodeDeploy::Application, AWS::CodeDeploy::DeploymentGroup, AWS::IAM::Role, AWS::SSM::Parameter"
32,Data\groud_truth\template\LambdaSample.yaml,We need a CloudFormation template that creates a Lambda sample.,2,"AWS::IAM::Role, AWS::Lambda::Function",2,70,1,,,,
33,Data\groud_truth\template\lab3.1.4.iamrole.yaml,"We need a CloudFormation template that creates IAM roles for EC2 instances with read-only access to IAM metadata, which allows them to retrieve and list IAM resources. The template should define two roles that trust the EC2 service, attach a managed policy granting permissions for `iam:Get*` and `iam:List*` actions across all IAM resources.",2,"AWS::IAM::Role, AWS::IAM::Role, AWS::IAM::ManagedPolicy",3,49,0,,,,
34,Data\groud_truth\template\RDS_PIOPS.yaml,"We need a CloudFormation template that creates a MySQL RDS instance (db.r5.large) with Provisioned IOPS (io1 storage) within a VPC. The solution should deploy the database across two private subnets in different Availability Zones using a DB subnet group, with network isolation via a dedicated VPC and a security group restricting access to port 3306 for internal VPC traffic. ",4,"AWS::EC2::VPC, AWS::EC2::InternetGateway, AWS::EC2::VPCGatewayAttachment, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::RDS::DBSubnetGroup, AWS::EC2::SecurityGroup, AWS::SecretsManager::Secret, AWS::RDS::DBInstance",9,126,3,4,"Data\user_intent\row_34A.yaml, user_intent\row_34B.yaml, user_intent\row_34C.yaml, user_intent\row_34D.yaml ","UIV_CUSTOM_ROW_34A, UIV_CUSTOM_ROW_34B, UIV_CUSTOM_ROW_34C, UIV_CUSTOM_ROW_34D","AWS::EC2::VPC, AWS::EC2::InternetGateway, AWS::EC2::VPCGatewayAttachment, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::RDS::DBSubnetGroup, AWS::EC2::SecurityGroup, AWS::SecretsManager::Secret, AWS::RDS::DBInstance"
35,Data\groud_truth\template\RDS_Snapshot_On_Delete.yaml,"We need a CloudFormation template that creates MySQL RDS instance (db.t3.micro) with automated snapshots and basic networking infrastructure. The template should deploy the database in a VPC with public subnets across two Availability Zones, using a route table and internet gateway for external connectivity. ",5,"AWS::EC2::VPC, AWS::EC2::InternetGateway, AWS::EC2::VPCGatewayAttachment, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::EC2::RouteTable, AWS::EC2::Route, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::SubnetRouteTableAssociation, AWS::RDS::DBSubnetGroup, AWS::EC2::SecurityGroup, AWS::SecretsManager::Secret, AWS::RDS::DBInstance",13,139,3,5,"Data\user_intent\row_35A.yaml, user_intent\row_35B.yaml, user_intent\row_35C.yaml","UIV_CUSTOM_ROW_35A, UIV_CUSTOM_ROW_35B, UIV_CUSTOM_ROW_35C","AWS::EC2::VPC, AWS::EC2::InternetGateway, AWS::EC2::VPCGatewayAttachment, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::EC2::RouteTable, AWS::EC2::Route, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::SubnetRouteTableAssociation, AWS::RDS::DBSubnetGroup, AWS::EC2::SecurityGroup, AWS::SecretsManager::Secret, AWS::RDS::DBInstance"
36,Data\groud_truth\template\RDS_with_DBParameterGroup.yaml,We need a CloudFormation template that creates a MySQL RDS instance (db.t3.micro) with a custom parameter group and secure network isolation. The template should deploy the database in a VPC with two subnets across Availability Zones. It must integrate AWS Secrets Manager to securely generate and manage admin credentials. ,2,"AWS::RDS::DBInstance, AWS::RDS::DBParameterGroup",2,67,2,,,,
37,Data\groud_truth\template\compliant-bucket.yaml,We need a CloudFormation template that creates a secure bucket that passes default security scanning checks. Includes a bucket to store replicas and an access log bucket. Server side encryption is enabled. Public access is disabled. The bucket policy requires secure transport.,5,"AWS::S3::Bucket, AWS::S3::BucketPolicy, AWS::S3::Bucket, AWS::S3::BucketPolicy, AWS::S3::Bucket, AWS::S3::BucketPolicy, AWS::IAM::RolePolicy, AWS::IAM::Role",8,223,1,,,,
38,Data\groud_truth\template\S3_LambdaTrigger.yaml,We need a CloudFormation template that creates a S3 bucket trigger lambda function.,3,"AWS::Lambda::Function, AWS::Lambda::Permission, AWS::IAM::Role, AWS::S3::Bucket",4,83,1,,,,
39,Data\groud_truth\template\ecr.yaml,"We need a CloudFormation template that creates an Amazon ECR repository, which include a repository policy granting the AWS account root user permissions to perform critical ECR actions, for Kubernetes container image management. ",1,AWS::ECR::Repository,1,34,1,,,,
40,Data\groud_truth\template\SQSFIFOQueue.yaml,We need a CloudFormation template that creates SQS FIFO Queue.,3,"AWS::SQS::Queue, AWS::SQS::Queue",2,82,7,,,,
41,Data\groud_truth\template\SQSStandardQueue.yaml,We need a CloudFormation template that creates SQS Standard Queue.,3,"AWS::SQS::Queue, AWS::SQS::Queue",2,84,7,,,,
42,Data\groud_truth\template\FindInMapAZs.yaml,"We need a CloudFormation template that creates a VPC, with a pair of public and private subnets, in total three, spread across two Availability Zones. It uses a static AZ Mapping known as RegionMap to ensure that your resources persist in a given Availability Zone if we add or remove zones.",5,"AWS::EC2::VPC, AWS::EC2::InternetGateway, AWS::EC2::VPCGatewayAttachment, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::EC2::EIP, AWS::EC2::EIP, AWS::EC2::NatGateway, AWS::EC2::NatGateway, AWS::EC2::RouteTable, AWS::EC2::Route, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::RouteTable, AWS::EC2::Route, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::RouteTable, AWS::EC2::Route, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::SecurityGroup",22,173,5,,,,
43,Data\groud_truth\template\lab2.2.4.create.yaml,We need a CloudFormation template that creates a S3 bucket with integrated AWS KMS encryption and lifecycle management. The template must include a KMS key alias for simplified key management and tag the bucket for organizational tracking. ,2,"AWS::S3::Bucket, AWS::KMS::Key, AWS::KMS::Alias",3,51,0,,,,
44,Data\groud_truth\template\VPC_With_Managed_NAT_And_Private_Subnet.yaml,"We need a CloudFormation template that creates a VPC with Managed NAT. Note, you can assume there are four subnets.",5,"AWS::EC2::VPC, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::EC2::Subnet, AWS::EC2::InternetGateway, AWS::EC2::VPCGatewayAttachment, AWS::EC2::RouteTable, AWS::EC2::Route, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::NetworkAcl, AWS::EC2::NetworkAclEntry, AWS::EC2::NetworkAclEntry, AWS::EC2::SubnetNetworkAclAssociation, AWS::EC2::SubnetNetworkAclAssociation, AWS::EC2::EIP, AWS::EC2::EIP, AWS::EC2::NatGateway, AWS::EC2::NatGateway, AWS::EC2::RouteTable, AWS::EC2::RouteTable, AWS::EC2::Route, AWS::EC2::Route, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::SubnetRouteTableAssociation",26,322,1,,,,
45,Data\groud_truth\template\DataFirehoseDeliveryStream.yaml,We need a CloudFormation template that creates an Amazon Data Firehose stream with server-side encryption set using AWS Managed keys and destination error logging enabled to a created Amazon CloudWatch log group and log stream.,3,"AWS::KinesisFirehose::DeliveryStream, AWS::Logs::LogGroup, AWS::Logs::LogStream, AWS::IAM::Role",4,142,6,,,,
46,Data\groud_truth\template\recovery.yaml,"We need a CloudFormation template that creates a resilient Jenkins CI/CD server with automated hardware failure recovery and secure access. The template should deploy Jenkins on an EC2 instance within a VPC, using a static Elastic IP for consistent public access and a security group allowing HTTP/ICMP traffic. It must automatically recover the instance via a CloudWatch alarm if system-level failures occur, ensuring continuity. The solution integrates an IAM role for Systems Manager (SSM) access, enabling secure management without SSH.",5,"AWS::EC2::VPC, AWS::EC2::InternetGateway, AWS::EC2::VPCGatewayAttachment, AWS::EC2::Subnet, AWS::EC2::RouteTable, AWS::EC2::SubnetRouteTableAssociation, AWS::EC2::Route, AWS::EC2::NetworkAcl, AWS::EC2::SubnetNetworkAclAssociation, AWS::EC2::NetworkAclEntry, AWS::EC2::NetworkAclEntry, AWS::EC2::SecurityGroup, AWS::EC2::EIP, AWS::EC2::Instance, AWS::CloudWatch::Alarm, AWS::IAM::Role, AWS::IAM::InstanceProfile",17,240,1,,,,
47,Data\groud_truth\template\lab3.1.3.iamrole.yaml,"We need a CloudFormation template that creates IAM roles for EC2 instances with restricted read-only access to AWS IAM metadata, which enables them to retrieve and list IAM resources without modification rights. ",2,"AWS::IAM::Role, AWS::IAM::Role, AWS::IAM::ManagedPolicy",3,45,0,,,,
