check_id,check_name,severity,short_code,description,service,framework,source_file_url,source_code,avd_url,title,impact,remediation_cfn,remediation_tf,cfn_good_example,tf_good_example,links,remediation_console,raw_text
,,,,,iam,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/iam/require_symbols_in_passwords.yaml,"terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/iam_account_password_policy
  good:
    - |-
      resource ""aws_iam_account_password_policy"" ""good_example"" {
        # ...
        require_symbols = true
        # ...
      }
  bad:
    - |-
      resource ""aws_iam_account_password_policy"" ""bad_example"" {
        # ...
        # require_symbols not set
        # ...
      }
",,,,,,,,,,
AVD-AWS-0057,IAM policy should avoid use of wildcards and instead apply the principle of least privilege,HIGH,,"You should use the principle of least privilege when defining your IAM policies. This means you should specify each exact permission required without using wildcards, as this could cause the granting of access to certain undesired actions, resources and principals.
",iam,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/iam/no_policy_wildcards.rego,package builtin.aws.iam.aws0057,https://avd.aquasec.com/misconfig/aws/iam/aws-0057/,No Policy Wildcards | Vulnerability Database | Aqua Security,,"['Specify the exact permissions required, and to which resources they should apply instead of using wildcards.']","['Specify the exact permissions required, and to which resources they should apply instead of using wildcards.']","Resources:
  GoodPolicy:
    Type: AWS::IAM::Policy
    Properties:
      PolicyName: CFNUsers
      PolicyDocument:
        Version: ""2012-10-17""
        Statement:
          - Effect: Allow
            Action:
              - s3:ListBuckets
            Resource: specific-bucket","resource ""aws_iam_role_policy"" ""test_policy"" {
  name = ""test_policy""
  role = aws_iam_role.test_role.id

  policy = data.aws_iam_policy_document.s3_policy.json
}

resource ""aws_iam_role"" ""test_role"" {
  name = ""test_role""
  assume_role_policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [
      {
        Action = ""sts:AssumeRole""
        Effect = ""Allow""
        Sid    = """"
        Principal = {
          Service = ""s3.amazonaws.com""
        }
      },
    ]
  })
}

data ""aws_iam_policy_document"" ""s3_policy"" {
  statement {
    principals {
      type        = ""AWS""
      identifiers = [""arn:aws:iam::${data.aws_caller_identity.current.account_id}:root""]
    }
    actions   = [""s3:GetObject""]
    resources = [aws_s3_bucket.example.arn]
  }
}",https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html,"https://registry.terraform.io/providers/hashicorp/aws/latest/docs/data-sources/iam_policy_document
https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html","No Policy Wildcards | Vulnerability Database | Aqua Security Aqua Vulnerability Database Get Demo Vulnerabilities Misconfiguration Compliance AWS > IAM > No Policy Wildcards HIGH Source Trivy Deprecated true Frameworks CIS AWS 1.4 ID AWS-0057 cloudformation terraform IAM policy should avoid use of wildcards and instead apply the principle of least privilege You should use the principle of least privilege when defining your IAM policies. This means you should specify each exact permission required without using wildcards, as this could cause the granting of access to certain undesired actions, resources and principals. Impact Recommended Actions Follow the appropriate remediation steps below to resolve the issue. CloudFormation Terraform Specify the exact permissions required, and to which resources they should apply instead of using wildcards. 1 2 3 4 5 6 7 8 9 10 11 12 Resources : GoodPolicy : Type : AWS::IAM::Policy Properties : PolicyName : CFNUsers PolicyDocument : Version : ""2012-10-17"" Statement : - Effect : Allow Action : - s3:ListBuckets Resource : specific-bucket Specify the exact permissions required, and to which resources they should apply instead of using wildcards. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 resource ""aws_iam_role_policy"" ""test_policy"" { name = ""test_policy"" role = aws_iam_role . test_role . id policy = data . aws_iam_policy_document . s3_policy . json } resource ""aws_iam_role"" ""test_role"" { name = ""test_role"" assume_role_policy = jsonencode ( { Version = ""2012-10-17"" Statement = [ { Action = ""sts:AssumeRole"" Effect = ""Allow"" Sid = """" Principal = { Service = ""s3.amazonaws.com"" } } , ] } ) } data ""aws_iam_policy_document"" ""s3_policy"" { statement { principals { type = ""AWS"" identifiers = [ ""arn:aws:iam::${data.aws_caller_identity.current.account_id}:root"" ] } actions = [ ""s3:GetObject"" ] resources = [ aws_s3_bucket . example . arn ] } } Remediation Links https://registry.terraform.io/providers/hashicorp/aws/latest/docs/data-sources/iam_policy_document Links https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html Aqua Container Security Aqua Security is the largest pure-play cloud native security company, providing customers the freedom to innovate and run their businesses with minimal friction. The Aqua Cloud Native Security Platform provides prevention, detection, and response automation across the entire application lifecycle to secure the build, secure cloud infrastructure and secure running workloads wherever they are deployed. Copyright © 2026 Aqua Security Software Ltd. Privacy Policy | Terms of Use"
,,,,,iam,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/iam/no_policy_wildcards.yaml,"cloudformation:
  good:
    - |-
      Resources:
        GoodPolicy:
          Type: AWS::IAM::Policy
          Properties:
            PolicyName: CFNUsers
            PolicyDocument:
              Version: ""2012-10-17""
              Statement:
                - Effect: Allow
                  Action:
                    - s3:ListBuckets
                  Resource: specific-bucket
  bad:
    - |-
      Resources:
        BadPolicy:
          Type: AWS::IAM::Policy
          Properties:
            PolicyName: CFNUsers
            PolicyDocument:

        Version: ""2012-10-17""

        Statement:
          - Effect: Allow
            Action:
              - cloudformation:Describe*
              - cloudformation:List*
              - cloudformation:Get*
            Resource: '*'
terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/data-sources/iam_policy_document
  good:
    - |-
      resource ""aws_iam_role_policy"" ""test_policy"" {
        name = ""test_policy""
        role = aws_iam_role.test_role.id

        policy = data.aws_iam_policy_document.s3_policy.json
      }

      resource ""aws_iam_role"" ""test_role"" {
        name = ""test_role""
        assume_role_policy = jsonencode({
          Version = ""2012-10-17""
          Statement = [
            {
              Action = ""sts:AssumeRole""
              Effect = ""Allow""
              Sid    = """"
              Principal = {
                Service = ""s3.amazonaws.com""
              }
            },
          ]
        })
      }

      data ""aws_iam_policy_document"" ""s3_policy"" {
        statement {
          principals {
            type        = ""AWS""
            identifiers = [""arn:aws:iam::${data.aws_caller_identity.current.account_id}:root""]
          }
          actions   = [""s3:GetObject""]
          resources = [aws_s3_bucket.example.arn]
        }
      }
  bad:
    - |-
      resource ""aws_iam_role_policy"" ""test_policy"" {
        name = ""test_policy""
        role = aws_iam_role.test_role.id

        policy = data.aws_iam_policy_document.s3_policy.json
      }

      resource ""aws_iam_role"" ""test_role"" {
        name = ""test_role""
        assume_role_policy = jsonencode({
          Version = ""2012-10-17""
          Statement = [
            {
              Action = ""sts:AssumeRole""
              Effect = ""Allow""
              Sid    = """"
              Principal = {
                Service = ""s3.amazonaws.com""
              }
            },
          ]
        })
      }

      data ""aws_iam_policy_document"" ""s3_policy"" {
        statement {
          principals {
            type        = ""AWS""
            identifiers = [""arn:aws:iam::${data.aws_caller_identity.current.account_id}:root""]
          }
          actions   = [""s3:*""]
          resources = [""*""]
        }
      }
",,,,,,,,,,
AVD-AWS-0058,IAM Password policy should have requirement for at least one lowercase character.,MEDIUM,,"IAM account password policies should ensure that passwords content including at least one lowercase character.
",iam,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/iam/require_lowercase_in_passwords.rego,"package builtin.aws.iam.aws0058

import rego.v1

deny contains res if {
	policy := input.aws.iam.passwordpolicy
	isManaged(policy)
	not policy.requirelowercase.value

	res := result.new(""Password policy does not require lowercase characters"", policy.requirelowercase)
}",https://avd.aquasec.com/misconfig/aws/iam/aws-0058/,Require Lowercase In Passwords | Vulnerability Database | Aqua Security,,,"['Enforce longer, more complex passwords in the policy']",,"resource ""aws_iam_account_password_policy"" ""good_example"" {
  # ...
  require_lowercase_characters = true
  # ...
}",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details,"Log in to the AWS Management Console.
Select the “Services” option and search for IAM.
Scroll down the left navigation panel and choose “Account Settings” under “Access management”.
Under the “Password Policy” configuration panel scroll down and click on “Change password policy” button.
Under the “Password Policy” configuration panel scroll down and check the “Require at least one lowercase letter from Latin alphabet (a-z)”. If the checkbox is not selected than the password policy does not require at least one lowercase letter.
Click on the checkbox next to “Require at least one lowercase letter from Latin alphabet (a-z)” so “Password Policy” requires at least one lowercase letter to make the password more strong and secure.
Click on the “Save changes” button to make the necessary changes.
Now “Password Policy” ensures that the password requires at least one lowercase letter.
https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/iam_account_password_policy
https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details","Require Lowercase In Passwords | Vulnerability Database | Aqua Security Aqua Vulnerability Database Get Demo Vulnerabilities Misconfiguration Compliance AWS > IAM > Require Lowercase In Passwords MEDIUM Source Trivy/CSPM CSPM ID password-requires-lowercase Frameworks CIS AWS 1.2 ID AWS-0058 management_console terraform IAM Password policy should have requirement for at least one lowercase character. IAM account password policies should ensure that passwords content including at least one lowercase character. Impact Recommended Actions Follow the appropriate remediation steps below to resolve the issue. Management Console Terraform Log in to the AWS Management Console. Select the “Services” option and search for IAM. Scroll down the left navigation panel and choose “Account Settings” under “Access management”. Under the “Password Policy” configuration panel scroll down and click on “Change password policy” button. Under the “Password Policy” configuration panel scroll down and check the “Require at least one lowercase letter from Latin alphabet (a-z)”. If the checkbox is not selected than the password policy does not require at least one lowercase letter. Click on the checkbox next to “Require at least one lowercase letter from Latin alphabet (a-z)” so “Password Policy” requires at least one lowercase letter to make the password more strong and secure. Click on the “Save changes” button to make the necessary changes. Now “Password Policy” ensures that the password requires at least one lowercase letter. Enforce longer, more complex passwords in the policy 1 2 3 4 5 resource ""aws_iam_account_password_policy"" ""good_example"" { # ... require_lowercase_characters = true # ... } Remediation Links https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/iam_account_password_policy Links https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details Aqua Container Security Aqua Security is the largest pure-play cloud native security company, providing customers the freedom to innovate and run their businesses with minimal friction. The Aqua Cloud Native Security Platform provides prevention, detection, and response automation across the entire application lifecycle to secure the build, secure cloud infrastructure and secure running workloads wherever they are deployed. Copyright © 2026 Aqua Security Software Ltd. Privacy Policy | Terms of Use"
,,,,,iam,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/iam/require_lowercase_in_passwords.yaml,"terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/iam_account_password_policy
  good:
    - |-
      resource ""aws_iam_account_password_policy"" ""good_example"" {
        # ...
        require_lowercase_characters = true
        # ...
      }
  bad:
    - |-
      resource ""aws_iam_account_password_policy"" ""bad_example"" {
        # ...
        # require_lowercase_characters not set
        # ...
      }
",,,,,,,,,,
AVD-AWS-0143,IAM policies should not be granted directly to users.,LOW,,"CIS recommends that you apply IAM policies directly to groups and roles but not users. Assigning privileges at the group or role level reduces the complexity of access management as the number of users grow. Reducing access management complexity might in turn reduce opportunity for a principal to inadvertently receive or retain excessive privileges.
",iam,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/iam/no_user_attached_policies.rego,"package builtin.aws.iam.aws0143

import rego.v1

deny contains res if {
	some user in input.aws.iam.users
	count(user.policies) > 0

	res := result.new(""One or more policies are attached directly to a user"", user)
}",https://avd.aquasec.com/misconfig/aws/iam/aws-0143/,No User Attached Policies | Vulnerability Database | Aqua Security,,,['Grant policies at the group level instead.'],,"resource ""aws_iam_group"" ""developers"" {
  name = ""developers""
  path = ""/users/""
}

resource ""aws_iam_user"" ""jim"" {
  name = ""jim""
}

resource ""aws_iam_group_membership"" ""devteam"" {
  name = ""developers-team""

  users = [
    aws_iam_user.jim.name,
  ]

  group = aws_iam_group.developers.name
}

resource ""aws_iam_group_policy"" ""ec2policy"" {
  name  = ""test""
  group = aws_iam_group.developers.name

  policy = <<EOF
{
  ""Version"": ""2012-10-17"",
  ""Statement"": [
    {
      ""Action"": [
        ""ec2:Describe*""
      ],
      ""Effect"": ""Allow"",
      ""Resource"": ""*""
    }
  ]
}
EOF
}",https://console.aws.amazon.com/iam/,"https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/iam_user
https://console.aws.amazon.com/iam/","No User Attached Policies | Vulnerability Database | Aqua Security Aqua Vulnerability Database Get Demo Vulnerabilities Misconfiguration Compliance AWS > IAM > No User Attached Policies LOW Source Trivy Frameworks CIS AWS 1.2 CIS AWS 1.4 ID AWS-0143 terraform IAM policies should not be granted directly to users. CIS recommends that you apply IAM policies directly to groups and roles but not users. Assigning privileges at the group or role level reduces the complexity of access management as the number of users grow. Reducing access management complexity might in turn reduce opportunity for a principal to inadvertently receive or retain excessive privileges. Impact Recommended Actions Follow the appropriate remediation steps below to resolve the issue. Terraform Grant policies at the group level instead. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 resource ""aws_iam_group"" ""developers"" { name = ""developers"" path = ""/users/"" } resource ""aws_iam_user"" ""jim"" { name = ""jim"" } resource ""aws_iam_group_membership"" ""devteam"" { name = ""developers-team"" users = [ aws_iam_user . jim . name , ] group = aws_iam_group . developers . name } resource ""aws_iam_group_policy"" ""ec2policy"" { name = ""test"" group = aws_iam_group . developers . name policy = << EOF { ""Version"": ""2012-10-17"" , ""Statement"" : [ { ""Action"" : [ ""ec2:Describe*"" ], ""Effect"": ""Allow"" , ""Resource"": ""*"" } ] } EOF } Remediation Links https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/iam_user Links https://console.aws.amazon.com/iam/ Aqua Container Security Aqua Security is the largest pure-play cloud native security company, providing customers the freedom to innovate and run their businesses with minimal friction. The Aqua Cloud Native Security Platform provides prevention, detection, and response automation across the entire application lifecycle to secure the build, secure cloud infrastructure and secure running workloads wherever they are deployed. Copyright © 2026 Aqua Security Software Ltd. Privacy Policy | Terms of Use"
AVD-AWS-0062,IAM Password policy should have expiry less than or equal to 90 days.,MEDIUM,,"IAM account password policies should have a maximum age specified.

The account password policy should be set to expire passwords after 90 days or less.
",iam,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/iam/set_max_password_age.rego,"package builtin.aws.iam.aws0062

import rego.v1

deny contains res if {
	policy := input.aws.iam.passwordpolicy
	isManaged(policy)
	policy.maxagedays.value > 90
	res := result.new(""Password policy allows a maximum password age of greater than 90 days."", policy.maxagedays)
}",https://avd.aquasec.com/misconfig/aws/iam/aws-0062/,Set Max Password Age | Vulnerability Database | Aqua Security,,,['Limit the password duration with an expiry in the policy'],,"resource ""aws_iam_account_password_policy"" ""good_example"" {
  max_password_age = 90
}",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details,"Log into the AWS Management Console.
Select the “Services” option and search for IAM.
Scroll down the left navigation panel and choose “Account Settings”.
On the Account Settings page, click on the “Change” under the “Password Policy”.
Under the “Password Policy” configuration panel scroll down and check the “Enable password expiration”. If the “Enable password expiration” checkbox is not ticked then the password won’t reset in any number of days.
If the “Enable password expiration” checkbox is ticked and “Password expiration period (in days)” is set to above 180 days than the allowed age of password might lead to a security threat as the same password will be active for a long period of time.
Click on the “Enable password expiration” checkbox and mention the 180 days under “Password expiration period (in days)” so that the password will be expired after 180 days. After 180 days, the password expires and the IAM user must set a new password before accessing the AWS Management Console.
Click on the “Apply Password Policy” button to make the necessary changes.
https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/iam_account_password_policy
https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details","Set Max Password Age | Vulnerability Database | Aqua Security Aqua Vulnerability Database Get Demo Vulnerabilities Misconfiguration Compliance AWS > IAM > Set Max Password Age MEDIUM Source Trivy/CSPM CSPM ID maximum-password-age Frameworks CIS AWS 1.2 ID AWS-0062 management_console terraform IAM Password policy should have expiry less than or equal to 90 days. IAM account password policies should have a maximum age specified. The account password policy should be set to expire passwords after 90 days or less. Impact Recommended Actions Follow the appropriate remediation steps below to resolve the issue. Management Console Terraform Log into the AWS Management Console. Select the “Services” option and search for IAM. Scroll down the left navigation panel and choose “Account Settings”. On the Account Settings page, click on the “Change” under the “Password Policy”. Under the “Password Policy” configuration panel scroll down and check the “Enable password expiration”. If the “Enable password expiration” checkbox is not ticked then the password won’t reset in any number of days. If the “Enable password expiration” checkbox is ticked and “Password expiration period (in days)” is set to above 180 days than the allowed age of password might lead to a security threat as the same password will be active for a long period of time. Click on the “Enable password expiration” checkbox and mention the 180 days under “Password expiration period (in days)” so that the password will be expired after 180 days. After 180 days, the password expires and the IAM user must set a new password before accessing the AWS Management Console. Click on the “Apply Password Policy” button to make the necessary changes. Limit the password duration with an expiry in the policy 1 2 3 resource ""aws_iam_account_password_policy"" ""good_example"" { max_password_age = 90 } Remediation Links https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/iam_account_password_policy Links https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details Aqua Container Security Aqua Security is the largest pure-play cloud native security company, providing customers the freedom to innovate and run their businesses with minimal friction. The Aqua Cloud Native Security Platform provides prevention, detection, and response automation across the entire application lifecycle to secure the build, secure cloud infrastructure and secure running workloads wherever they are deployed. Copyright © 2026 Aqua Security Software Ltd. Privacy Policy | Terms of Use"
AVD-AWS-0059,IAM Password policy should have requirement for at least one number in the password.,MEDIUM,,"IAM account password policies should ensure that passwords content including at least one number.
",iam,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/iam/require_numbers_in_passwords.rego,"package builtin.aws.iam.aws0059

import rego.v1

deny contains res if {
	policy := input.aws.iam.passwordpolicy
	isManaged(policy)
	not policy.requirenumbers.value

	res := result.new(""Password policy does not require numbers."", policy.requirenumbers)
}",https://avd.aquasec.com/misconfig/aws/iam/aws-0059/,Require Numbers In Passwords | Vulnerability Database | Aqua Security,,,"['Enforce longer, more complex passwords in the policy']",,"resource ""aws_iam_account_password_policy"" ""good_example"" {
  # ...
  require_numbers = true
  # ...
}",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details,"Log in to the AWS Management Console.
Select the “Services” option and search for IAM.
Scroll down the left navigation panel and choose “Account Settings” under “Access management”.
Under the “Password Policy” configuration panel scroll down and click on “Change password policy” button.
Under the “Password Policy” configuration panel scroll down and check the “Require at least one number”. If the checkbox is not selected than the password policy does not enforce the use of numbers in password.
Click on the checkbox next to “Require at least one number” so “Password Policy” requires at least one number to make the password more strong and secure.
Click on the “Save changes” button to make the necessary changes.
Now “Password Policy” ensures that the password requires at least one number.
https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/iam_account_password_policy
https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details","Require Numbers In Passwords | Vulnerability Database | Aqua Security Aqua Vulnerability Database Get Demo Vulnerabilities Misconfiguration Compliance AWS > IAM > Require Numbers In Passwords MEDIUM Source Trivy/CSPM CSPM ID password-requires-numbers Frameworks CIS AWS 1.2 ID AWS-0059 management_console terraform IAM Password policy should have requirement for at least one number in the password. IAM account password policies should ensure that passwords content including at least one number. Impact Recommended Actions Follow the appropriate remediation steps below to resolve the issue. Management Console Terraform Log in to the AWS Management Console. Select the “Services” option and search for IAM. Scroll down the left navigation panel and choose “Account Settings” under “Access management”. Under the “Password Policy” configuration panel scroll down and click on “Change password policy” button. Under the “Password Policy” configuration panel scroll down and check the “Require at least one number”. If the checkbox is not selected than the password policy does not enforce the use of numbers in password. Click on the checkbox next to “Require at least one number” so “Password Policy” requires at least one number to make the password more strong and secure. Click on the “Save changes” button to make the necessary changes. Now “Password Policy” ensures that the password requires at least one number. Enforce longer, more complex passwords in the policy 1 2 3 4 5 resource ""aws_iam_account_password_policy"" ""good_example"" { # ... require_numbers = true # ... } Remediation Links https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/iam_account_password_policy Links https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details Aqua Container Security Aqua Security is the largest pure-play cloud native security company, providing customers the freedom to innovate and run their businesses with minimal friction. The Aqua Cloud Native Security Platform provides prevention, detection, and response automation across the entire application lifecycle to secure the build, secure cloud infrastructure and secure running workloads wherever they are deployed. Copyright © 2026 Aqua Security Software Ltd. Privacy Policy | Terms of Use"
AVD-AWS-0063,IAM Password policy should have minimum password length of 14 or more characters.,MEDIUM,,"IAM account password policies should ensure that passwords have a minimum length.

The account password policy should be set to enforce minimum password length of at least 14 characters.
",iam,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/iam/set_minimum_password_length.rego,"package builtin.aws.iam.aws0063

import rego.v1

import data.lib.cloud.value

msg := ""Password policy allows a maximum password age of greater than 90 days""

deny contains res if {
	policy := input.aws.iam.passwordpolicy
	isManaged(policy)
	value.less_than(policy.minimumlength, 14)
	res := result.new(
		""Password policy allows a maximum password age of greater than 90 days"",
		policy.minimumlength,
	)
}",https://avd.aquasec.com/misconfig/aws/iam/aws-0063/,Set Minimum Password Length | Vulnerability Database | Aqua Security,,,"['Enforce longer, more complex passwords in the policy']",,"resource ""aws_iam_account_password_policy"" ""good_example"" {
  minimum_password_length = 14
}",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details,"Log in to the AWS Management Console.
Select the “Services” option and search for IAM.
Scroll down the left navigation panel and choose “Account Settings” under “Access management”.
Under the “Password Policy” configuration panel scroll down and click on “Change password policy” button.
On the “Set password policy” page scroll down and check the “Enforce minimum password length”. If the password length is set less than 8 characters than the password security is at risk.
Mention the minimum characters required to 14 in the textbox. Click the checkbox against “Require at least one uppercase letter” and “Require at least one lowercase letter” to make the password more secure.
Click on the “Save changes” button to make the necessary changes.
Now “Password Policy” requires at least 14 characters with one uppercase and one lowercase character for a strong and secure password.
https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/iam_account_password_policy
https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details","Set Minimum Password Length | Vulnerability Database | Aqua Security Aqua Vulnerability Database Get Demo Vulnerabilities Misconfiguration Compliance AWS > IAM > Set Minimum Password Length MEDIUM Source Trivy/CSPM CSPM ID minimum-password-length Frameworks CIS AWS 1.2 CIS AWS 1.4 ID AWS-0063 management_console terraform IAM Password policy should have minimum password length of 14 or more characters. IAM account password policies should ensure that passwords have a minimum length. The account password policy should be set to enforce minimum password length of at least 14 characters. Impact Recommended Actions Follow the appropriate remediation steps below to resolve the issue. Management Console Terraform Log in to the AWS Management Console. Select the “Services” option and search for IAM. Scroll down the left navigation panel and choose “Account Settings” under “Access management”. Under the “Password Policy” configuration panel scroll down and click on “Change password policy” button. On the “Set password policy” page scroll down and check the “Enforce minimum password length”. If the password length is set less than 8 characters than the password security is at risk. Mention the minimum characters required to 14 in the textbox. Click the checkbox against “Require at least one uppercase letter” and “Require at least one lowercase letter” to make the password more secure. Click on the “Save changes” button to make the necessary changes. Now “Password Policy” requires at least 14 characters with one uppercase and one lowercase character for a strong and secure password. Enforce longer, more complex passwords in the policy 1 2 3 resource ""aws_iam_account_password_policy"" ""good_example"" { minimum_password_length = 14 } Remediation Links https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/iam_account_password_policy Links https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html#password-policy-details Aqua Container Security Aqua Security is the largest pure-play cloud native security company, providing customers the freedom to innovate and run their businesses with minimal friction. The Aqua Cloud Native Security Platform provides prevention, detection, and response automation across the entire application lifecycle to secure the build, secure cloud infrastructure and secure running workloads wherever they are deployed. Copyright © 2026 Aqua Security Software Ltd. Privacy Policy | Terms of Use"
,,,,,iam,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/iam/set_minimum_password_length.yaml,"terraform:
  links:
    - https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/iam_account_password_policy
  good:
    - |-
      resource ""aws_iam_account_password_policy"" ""good_example"" {
        minimum_password_length = 14
      }
  bad:
    - |-
      resource ""aws_iam_account_password_policy"" ""bad_example"" {
        # ...
        # minimum_password_length not set
        # ...
      }
",,,,,,,,,,
AVD-AWS-0346,Reduce unnecessary unauthorized access or information disclosure of S3 buckets.,HIGH,,Unnecessary access to S3 buckets can lead to unauthorized access or information disclosure.,iam,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/iam/unauthorized_bucket_access.rego,"package builtin.aws.iam.aws0346

import rego.v1

is_action_allowed(statement, action_to_check) if {
	lower(statement.Effect) == ""allow""
	some action in statement.Action
	lower(action) == lower(action_to_check)
}

allows_s3_put_and_get(document) if {
	value := json.unmarshal(document)
	some statement in value.Statement
	lower(statement.Effect) == ""allow""
	statement.Resource == ""*""
	allowed_actions := [lower(action) | some action in statement.Action]
	""s3:get*"" in allowed_actions
	""s3:put*"" in allowed_actions
}

deny contains res if {
	some policy in input.aws.iam.policies
	allows_s3_put_and_get(policy.document.value)
	res = result.new(
		""IAM policy allows both 's3:Get*' and 's3:Put*' actions on all resources"",
		policy.document,
	)
}

deny contains res if {
	some role in input.aws.iam.roles
	some policy in role.policies
	allows_s3_put_and_get(policy.document.value)
	res = result.new(
		""IAM role policy allows both 's3:Get*' and 's3:Put*' actions on all resources"",
		policy.document,
	)
}",https://avd.aquasec.com/misconfig/aws/iam/aws-0346/,Unauthorized Bucket Access | Vulnerability Database | Aqua Security,,,,,,https://www.aquasec.com/blog/shadow-roles-aws-defaults-lead-to-service-takeover/,https://www.aquasec.com/blog/shadow-roles-aws-defaults-lead-to-service-takeover/,"Unauthorized Bucket Access | Vulnerability Database | Aqua Security Aqua Vulnerability Database Get Demo Vulnerabilities Misconfiguration Compliance AWS > IAM > Unauthorized Bucket Access HIGH Source Trivy ID AWS-0346 Reduce unnecessary unauthorized access or information disclosure of S3 buckets. Unnecessary access to S3 buckets can lead to unauthorized access or information disclosure. Impact Links https://www.aquasec.com/blog/shadow-roles-aws-defaults-lead-to-service-takeover/ Aqua Container Security Aqua Security is the largest pure-play cloud native security company, providing customers the freedom to innovate and run their businesses with minimal friction. The Aqua Cloud Native Security Platform provides prevention, detection, and response automation across the entire application lifecycle to secure the build, secure cloud infrastructure and secure running workloads wherever they are deployed. Copyright © 2026 Aqua Security Software Ltd. Privacy Policy | Terms of Use"
