row_number,prompt,ground_truth_path,final_template_path,success,failure_reason,error_message,failed_at_stage,total_iterations,highest_feedback_level,coverage_percentage,accuracy_percentage,checkov_pass_user_intent,checkov_validation_details,checkov_pass_security,checkov_pass_security_percentage,checkov_security_details
10,We need a CloudFormation template of an EC2 instance with ephemeral drives attached using EC2 block device mappings that is able to deploy on AWS successfully. This template should automatically fetch the latest Amazon Linux 2 AMI via SSM Parameter Store and create an SSH key pair for secure access. Note the template should deploy the EC2 in pre-exist default vpc/subnet.,groud_truth\template\EC2_Instance_With_Ephemeral_Drives.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_10_update_6_template_20250421_132621.yaml,TRUE,,,,6,moderate,100,100,,,FALSE,66.67,"{'total_checks': 6, 'passed_checks': 4, 'failed_checks': 2, 'pass_percentage': 66.67, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.EC2SecurityGroup'}, {'id': 'CKV_AWS_24', 'name': 'Ensure no security groups allow ingress from 0.0.0.0:0 to port 22', 'resource': 'AWS::EC2::SecurityGroup.EC2SecurityGroup'}]}"
11,We need a CloudFormation template that creates a DynamoDB table for mobile notifications reporting. The DynamoDB table should has a global secondary index on `type` and `sentTime` for time-based queries. Configure pay-per-request billing for cost efficiency with unpredictable workloads and TTL auto-expiry for automatic cleanup of stale data. ,groud_truth\template\dynamo.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_11_update_3_template_20250421_132723.yaml,TRUE,,,,3,simple,100,100,,,FALSE,0,"{'total_checks': 2, 'passed_checks': 0, 'failed_checks': 2, 'pass_percentage': 0.0, 'failed_check_details': [{'id': 'CKV_AWS_28', 'name': 'Ensure DynamoDB point in time recovery (backup) is enabled', 'resource': 'AWS::DynamoDB::Table.NotificationsTable'}, {'id': 'CKV_AWS_119', 'name': 'Ensure DynamoDB Tables are encrypted using a KMS Customer Managed CMK', 'resource': 'AWS::DynamoDB::Table.NotificationsTable'}]}"
12,We need a CloudFormation template of an EC2 instance with an Elastic IP address and SSH access controls associated that is able to deploy on AWS successfully. Note the EC2 instance can just create in the default vpc/subnet.,groud_truth\template\EIP_With_Association.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_12_update_5_template_20250421_132905.yaml,TRUE,,,,5,moderate,100,100,,,FALSE,66.67,"{'total_checks': 6, 'passed_checks': 4, 'failed_checks': 2, 'pass_percentage': 66.67, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.EC2SecurityGroup'}, {'id': 'CKV_AWS_24', 'name': 'Ensure no security groups allow ingress from 0.0.0.0:0 to port 22', 'resource': 'AWS::EC2::SecurityGroup.EC2SecurityGroup'}]}"
13,"We need a CloudFormation template of an EC2 instance with cfn-init and cfn-signal that is able to deploy on AWS successfully. The solution should deploy an EC2 instance preconfigured with Apache HTTP Server via `cfn-init` package installation and service setup. Automate web server initialization by creating a sample `index.html` page and configuring `cfn-hup` for metadata updates, enabling automatic reconfiguration if stack parameters change. Use a CreationPolicy with ResourceSignal to pause stack creation until `cfn-signal` confirms successful instance bootstrapping (timeout: 5 minutes), preventing incomplete deployments.  ",groud_truth\template\InstanceWithCfnInit.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_13_update_3_template_20250421_133057.yaml,TRUE,,,,3,simple,100,50,,,FALSE,66.67,"{'total_checks': 6, 'passed_checks': 4, 'failed_checks': 2, 'pass_percentage': 66.67, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.WebServerSecurityGroup'}, {'id': 'CKV_AWS_260', 'name': 'Ensure no security groups allow ingress from 0.0.0.0:0 to port 80', 'resource': 'AWS::EC2::SecurityGroup.WebServerSecurityGroup'}]}"
14,We need a CloudFormation template that creates a single Elastic Network Interface (ENI) with two Elastic IPs (EIPs) and secondary private IPs which enables a single EC2 instance (not explicitly defined) to handle multiple public-facing IP addresses through one network interface.,groud_truth\template\SingleENIwithMultipleEIPs.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_14_update_11_template_20250421_133518.yaml,TRUE,,,,11,moderate,100,69.23076923,,,FALSE,75,"{'total_checks': 4, 'passed_checks': 3, 'failed_checks': 1, 'pass_percentage': 75.0, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.SecurityGroup'}]}"
15,We need a CloudFormation template of API Gateway with lambda non-proxy integration for RESTApi that is able to deploy on AWS successfully.,groud_truth\template\apigateway_lambda_integration.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_15_update_1_template_20250220_055035.yaml,TRUE,,,,1,,85.71428571,75,,,FALSE,61.11,"{'total_checks': 18, 'passed_checks': 11, 'failed_checks': 7, 'pass_percentage': 61.11, 'failed_check_details': [{'id': 'CKV_AWS_116', 'name': 'Ensure that AWS Lambda function is configured for a Dead Letter Queue(DLQ)', 'resource': 'AWS::Lambda::Function.LambdaFunction'}, {'id': 'CKV_AWS_115', 'name': 'Ensure that AWS Lambda function is configured for function-level concurrent execution limit', 'resource': 'AWS::Lambda::Function.LambdaFunction'}, {'id': 'CKV_AWS_117', 'name': 'Ensure that AWS Lambda function is configured inside a VPC', 'resource': 'AWS::Lambda::Function.LambdaFunction'}, {'id': 'CKV_AWS_59', 'name': 'Ensure there is no open access to back-end resources through API', 'resource': 'AWS::ApiGateway::Method.ApiMethod'}, {'id': 'CKV_AWS_76', 'name': 'Ensure API Gateway has Access Logging enabled', 'resource': 'AWS::ApiGateway::Stage.ApiStage'}, {'id': 'CKV_AWS_120', 'name': 'Ensure API Gateway caching is enabled', 'resource': 'AWS::ApiGateway::Stage.ApiStage'}, {'id': 'CKV_AWS_73', 'name': 'Ensure API Gateway has X-Ray Tracing enabled', 'resource': 'AWS::ApiGateway::Stage.ApiStage'}]}"
16,"We need a CloudFormation template that creates AWS Glue resources for crawling and cataloging CloudTrail logs stored in S3 which attempts to enable structured querying via Athena. The solution should deploy a Glue Database and Crawler to analyze CloudTrail logs in an S3 bucket (`s3://kk-admin/cloud-trail/AWSLogs/`), automatically inferring schemas and creating metadata tables. Define crawler settings to handle schema updates and prefix tables with `cloudtrail_` for organizational clarity.  ",groud_truth\template\glue-for-cloudtrail.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_16_update_4_template_20250421_133838.yaml,TRUE,,,,4,moderate,100,75,,,FALSE,93.75,"{'total_checks': 16, 'passed_checks': 15, 'failed_checks': 1, 'pass_percentage': 93.75, 'failed_check_details': [{'id': 'CKV_AWS_195', 'name': 'Ensure Glue component has a security configuration associated', 'resource': 'AWS::Glue::Crawler.GlueCrawler'}]}"
17,"We need a CloudFormation template that creates multi-threshold AWS billing alarms using CloudWatch and SNS which monitor monthly AWS costs and send email alerts when spending exceeds predefined levels. The solution should deploy four CloudWatch alarms tracking the `EstimatedCharges` metric, triggering at $5, $10, $20, and $40 thresholds respectively. Configure an SNS topic with an email subscription to notify email address (xxxxx@gmail.com) when any alarm threshold is breached. Please monitor charges with alarms evaluated every 6 hours to balance responsiveness and noise reduction. ",groud_truth\template\billing-alarms.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_17_update_1_template_20250421_133933.yaml,TRUE,,,,1,,100,83.33333333,,,FALSE,0,"{'total_checks': 1, 'passed_checks': 0, 'failed_checks': 1, 'pass_percentage': 0.0, 'failed_check_details': [{'id': 'CKV_AWS_26', 'name': 'Ensure all data stored in the SNS topic is encrypted', 'resource': 'AWS::SNS::Topic.BillingAlertTopic'}]}"
18,"We need a CloudFormation template that creates an integration between DynamoDB streams and Amazon EventBridge to automate event-driven workflows based on specific data changes. The template mus configure an EventBridge Pipe to filter DynamoDB stream events (e.g., when a user¡¯s `avatarUrl` field ends with `.png`) and route matching events to the bus with predefined metadata (`DetailType` and `Source`). ",groud_truth\template\dynamodb_with_eventbridge.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_18_update_1_template_20250421_134005.yaml,TRUE,,,,1,,75,75,,,FALSE,88.24,"{'total_checks': 17, 'passed_checks': 15, 'failed_checks': 2, 'pass_percentage': 88.24, 'failed_check_details': [{'id': 'CKV_AWS_28', 'name': 'Ensure DynamoDB point in time recovery (backup) is enabled', 'resource': 'AWS::DynamoDB::Table.DynamoDBTable'}, {'id': 'CKV_AWS_119', 'name': 'Ensure DynamoDB Tables are encrypted using a KMS Customer Managed CMK', 'resource': 'AWS::DynamoDB::Table.DynamoDBTable'}]}"
19,"We need a CloudFormation template that creates an Amazon EventBridge configuration to route custom events to an external API endpoint via HTTPS. The template should deploy an EventBridge event bus, an API destination ('https://webhook.site/testtest'), and a connection secured by an API key for authentication. ",groud_truth\template\eventbridge.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_19_update_5_template_20250421_134206.yaml,TRUE,,,,5,moderate,100,100,,,FALSE,88.89,"{'total_checks': 9, 'passed_checks': 8, 'failed_checks': 1, 'pass_percentage': 88.89, 'failed_check_details': [{'id': 'CKV_AWS_111', 'name': 'Ensure IAM policies does not allow write access without constraints', 'resource': 'AWS::IAM::Role.EventBridgeRole'}]}"
20,"We need a CloudFormation template that creates a CloudWatch Dashboard and a set of CloudWatch Logs Insights queries to monitor and analyze AWS Client VPN usage patterns. The solution should aggregate metrics such as connection durations, data transfer volumes (ingress/egress), and user activity across different authentication methods (AD/SAML, Mutual Auth, and Mixed Auth). The template must organize queries into a logical folder structure and display results in a centralized dashboard with tables showing endpoint-specific usage, distinct user statistics, and authentication-type breakdowns.",groud_truth\template\CloudWatch_Dashboard_ClientVPN.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_20_update_9_template_20250421_134544.yaml,TRUE,,,,9,moderate,7.142857143,100,,,TRUE,0,"{'total_checks': 0, 'passed_checks': 0, 'failed_checks': 0, 'pass_percentage': 0, 'failed_check_details': []}"
21,"We need a CloudFormation template that creates an Amazon Timestream database and tables with configurable retention policies and error handling. The template should define four tables (poc-table-01-batch-write, poc-table-02-older-records-memonly, poc-table-03-older-records-magnetic, poc-table-04-common-attributes).",groud_truth\template\ts_tables.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_21_update_4_template_20250422_090521.yaml,TRUE,,,,4,moderate,83.33333333,100,,,FALSE,0,"{'total_checks': 1, 'passed_checks': 0, 'failed_checks': 1, 'pass_percentage': 0.0, 'failed_check_details': [{'id': 'CKV_AWS_160', 'name': 'Ensure that Timestream database is encrypted with KMS CMK', 'resource': 'AWS::Timestream::Database.TimeStreamDatabase'}]}"
22,We need a CloudFormation template that creates a DynamoDB table with local and global secondary indexes.,groud_truth\template\DynamoDB_Secondary_Indexes.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_22_update_2_template_20250224_074918.yaml,TRUE,,,,2,simple,100,100,,,FALSE,0,"{'total_checks': 2, 'passed_checks': 0, 'failed_checks': 2, 'pass_percentage': 0.0, 'failed_check_details': [{'id': 'CKV_AWS_28', 'name': 'Ensure DynamoDB point in time recovery (backup) is enabled', 'resource': 'AWS::DynamoDB::Table.DynamoDBTable'}, {'id': 'CKV_AWS_119', 'name': 'Ensure DynamoDB Tables are encrypted using a KMS Customer Managed CMK', 'resource': 'AWS::DynamoDB::Table.DynamoDBTable'}]}"
23,We need a CloudFormation template that creates a DynamoDB table. ,groud_truth\template\DynamoDB_Table.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_23_update_3_template_20250224_075026.yaml,TRUE,,,,3,simple,100,100,,,FALSE,0,"{'total_checks': 2, 'passed_checks': 0, 'failed_checks': 2, 'pass_percentage': 0.0, 'failed_check_details': [{'id': 'CKV_AWS_28', 'name': 'Ensure DynamoDB point in time recovery (backup) is enabled', 'resource': 'AWS::DynamoDB::Table.DynamoDBTable'}, {'id': 'CKV_AWS_119', 'name': 'Ensure DynamoDB Tables are encrypted using a KMS Customer Managed CMK', 'resource': 'AWS::DynamoDB::Table.DynamoDBTable'}]}"
24,"We need a CloudFormation template of a VPC containing two subnets and an auto scaling group containing instances with Internet access and ElastiCache configured with automated snapshot management and failover capabilities. It must allow optional configuration of snapshot retention policies, with a Lambda function and IAM role to enable/disable snapshotting dynamically. The template should enforce minimal infrastructure costs by defaulting to the `cache.m3.medium` instance type and include regional AZ mappings for subnet placement. ",groud_truth\template\Elasticache-snapshot.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_24_update_6_template_20250421_135444.yaml,TRUE,,,,6,moderate,82.35294118,77.77777778,,,FALSE,65,"{'total_checks': 20, 'passed_checks': 13, 'failed_checks': 7, 'pass_percentage': 65.0, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.EC2SecurityGroup'}, {'id': 'CKV_AWS_24', 'name': 'Ensure no security groups allow ingress from 0.0.0.0:0 to port 22', 'resource': 'AWS::EC2::SecurityGroup.EC2SecurityGroup'}, {'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.ElastiCacheSecurityGroup'}, {'id': 'CKV_AWS_29', 'name': 'Ensure all data stored in the ElastiCache Replication Group is securely encrypted at rest', 'resource': 'AWS::ElastiCache::ReplicationGroup.ElastiCacheReplicationGroup'}, {'id': 'CKV_AWS_30', 'name': 'Ensure all data stored in the ElastiCache Replication Group is securely encrypted at transit', 'resource': 'AWS::ElastiCache::ReplicationGroup.ElastiCacheReplicationGroup'}, {'id': 'CKV_AWS_31', 'name': 'Ensure all data stored in the ElastiCache Replication Group is securely encrypted at transit and has auth token', 'resource': 'AWS::ElastiCache::ReplicationGroup.ElastiCacheReplicationGroup'}, {'id': 'CKV_AWS_79', 'name': 'Ensure Instance Metadata Service Version 1 is not enabled', 'resource': 'AWS::EC2::LaunchTemplate.LaunchTemplate'}]}"
25,"We need a CloudFormation template that creates an IoT data pipeline to route messages from AWS IoT Core to an SQS queue via SNS. The template should deploy an SQS queue to store messages, an SNS topic to act as a pub/sub intermediary, and an IoT Rule to capture messages from the `device/data` MQTT topic. ",groud_truth\template\iot_sns_sqs.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_25_update_3_template_20250421_140855.yaml,TRUE,,,,3,simple,85.71428571,85.71428571,,,FALSE,81.82,"{'total_checks': 11, 'passed_checks': 9, 'failed_checks': 2, 'pass_percentage': 81.82, 'failed_check_details': [{'id': 'CKV_AWS_27', 'name': 'Ensure all data stored in the SQS queue is encrypted', 'resource': 'AWS::SQS::Queue.IoTDataQueue'}, {'id': 'CKV_AWS_26', 'name': 'Ensure all data stored in the SNS topic is encrypted', 'resource': 'AWS::SNS::Topic.IoTDataTopic'}]}"
26,"We need a CloudFormation template that creates an S3 bucket integrated with Amazon EventBridge and SNS to notify subscribers about object creation events. The template should deploy an S3 bucket configured to send events to EventBridge, an SNS topic for message distribution, and an EventBridge rule that triggers on `Object Created` events from the bucket.",groud_truth\template\s3_sns.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_26_update_7_template_20250421_141114.yaml,TRUE,,,,7,moderate,100,66.66666667,,,FALSE,89.47,"{'total_checks': 19, 'passed_checks': 17, 'failed_checks': 2, 'pass_percentage': 89.47, 'failed_check_details': [{'id': 'CKV_AWS_18', 'name': 'Ensure the S3 bucket has access logging enabled', 'resource': 'AWS::S3::Bucket.EventsBucket'}, {'id': 'CKV_AWS_26', 'name': 'Ensure all data stored in the SNS topic is encrypted', 'resource': 'AWS::SNS::Topic.NotificationTopic'}]}"
27,"We need a CloudFormation template that creates a real-time data ingestion and storage pipeline using Amazon Kinesis Data Stream and Kinesis Data Firehose, which delivers the data to an S3 bucket. ",groud_truth\template\sam_kinesis.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_27_update_1_template_20250421_141253.yaml,TRUE,,,,1,,80,80,,,FALSE,95.24,"{'total_checks': 21, 'passed_checks': 20, 'failed_checks': 1, 'pass_percentage': 95.24, 'failed_check_details': [{'id': 'CKV_AWS_18', 'name': 'Ensure the S3 bucket has access logging enabled', 'resource': 'AWS::S3::Bucket.DataBucket'}]}"
28,"We need a CloudFormation template that creates an automated monitoring and notification system for AWS Secrets Manager secret lifecycle events, which sends alerts via Amazon SNS when secrets are created, updated, or accessed. ",groud_truth\template\sns_for_secret_manager.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_28_update_6_template_20250421_141608.yaml,TRUE,,,,6,moderate,100,60,,,FALSE,90,"{'total_checks': 10, 'passed_checks': 9, 'failed_checks': 1, 'pass_percentage': 90.0, 'failed_check_details': [{'id': 'CKV_AWS_26', 'name': 'Ensure all data stored in the SNS topic is encrypted', 'resource': 'AWS::SNS::Topic.SecretEventsTopic'}]}"
29,"We need a CloudFormation template that creates secure parameter storage and retrieval workflows using AWS Systems Manager (SSM) Parameter Store and Secrets Manager which demonstrates centralized configuration management for serverless applications. The solution should define SSM Parameters under a stack-specific namespace to store non-sensitive configuration values (e.g., ""This is A/B""). Generate a Secrets Manager secret with a dynamically created password and predefined username, enforcing security constraints (e.g., excluded characters). Deploy a Lambda function to fetch and decrypt parameters/secrets using Boto3, showcasing path-based SSM parameter retrieval and Secrets Manager secret decryption workflows. Attach IAM roles/policies to grant the Lambda permissions for SSM, Secrets Manager, and CloudWatch logging, ensuring least-privilege access.",groud_truth\template\parameter-store-demo.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_29_update_1_template_20250421_141756.yaml,TRUE,,,,1,,83.33333333,100,,,FALSE,72.22,"{'total_checks': 18, 'passed_checks': 13, 'failed_checks': 5, 'pass_percentage': 72.22, 'failed_check_details': [{'id': 'CKV_AWS_149', 'name': 'Ensure that Secrets Manager secret is encrypted using KMS CMK', 'resource': 'AWS::SecretsManager::Secret.ApplicationSecret'}, {'id': 'CKV_AWS_116', 'name': 'Ensure that AWS Lambda function is configured for a Dead Letter Queue(DLQ)', 'resource': 'AWS::Lambda::Function.ParameterReaderFunction'}, {'id': 'CKV_AWS_173', 'name': 'Check encryption settings for Lambda environment variable', 'resource': 'AWS::Lambda::Function.ParameterReaderFunction'}, {'id': 'CKV_AWS_115', 'name': 'Ensure that AWS Lambda function is configured for function-level concurrent execution limit', 'resource': 'AWS::Lambda::Function.ParameterReaderFunction'}, {'id': 'CKV_AWS_117', 'name': 'Ensure that AWS Lambda function is configured inside a VPC', 'resource': 'AWS::Lambda::Function.ParameterReaderFunction'}]}"
30,"We need a CloudFormation template that creates a EFS file system with cross-AZ EC2 instances and performance monitoring which provides shared storage for applications requiring multi-AZ accessibility. The solution should also launch two EC2 instances in separate AZs with IAM roles granting EFS access and SSM permissions, automating EFS mounting via user data scripts that retry until mount targets are available. Configure CloudWatch alarms to monitor EFS I/O limits and throughput utilization, triggering alerts at 95% I/O limit and 80% throughput thresholds. Note to establish a VPC with public subnets, internet gateway, and network ACLs to support EFS and EC2 connectivity while enforcing security group rules for controlled NFS access. Use cfn-signal and CreationPolicies to ensure instances successfully mount EFS before stack completion, avoiding partial deployments.  ",groud_truth\template\efs-provisioned.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_30_update_6_template_20250421_142152.yaml,TRUE,,,,6,moderate,76,95,,,FALSE,80.95,"{'total_checks': 21, 'passed_checks': 17, 'failed_checks': 4, 'pass_percentage': 80.95, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.Ec2SecurityGroup'}, {'id': 'CKV_AWS_24', 'name': 'Ensure no security groups allow ingress from 0.0.0.0:0 to port 22', 'resource': 'AWS::EC2::SecurityGroup.Ec2SecurityGroup'}, {'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.EfsSecurityGroup'}, {'id': 'CKV_AWS_26', 'name': 'Ensure all data stored in the SNS topic is encrypted', 'resource': 'AWS::SNS::Topic.EfsAlarmTopic'}]}"
