row_number,ground_truth_path,prompt
39,Data\groud_truth\template\ecr.yaml,"We need a CloudFormation template that creates an Amazon ECR repository, which include a repository policy granting the AWS account root user permissions to perform critical ECR actions, for Kubernetes container image management. "
40,Data\groud_truth\template\SQSFIFOQueue.yaml,We need a CloudFormation template that creates SQS FIFO Queue.
41,Data\groud_truth\template\SQSStandardQueue.yaml,We need a CloudFormation template that creates SQS Standard Queue.
42,Data\groud_truth\template\FindInMapAZs.yaml,"We need a CloudFormation template that creates a VPC, with a pair of public and private subnets, in total three, spread across two Availability Zones. It uses a static AZ Mapping known as RegionMap to ensure that your resources persist in a given Availability Zone if we add or remove zones."
43,Data\groud_truth\template\lab2.2.4.create.yaml,We need a CloudFormation template that creates a S3 bucket with integrated AWS KMS encryption and lifecycle management. The template must include a KMS key alias for simplified key management and tag the bucket for organizational tracking. 
44,Data\groud_truth\template\VPC_With_Managed_NAT_And_Private_Subnet.yaml,"We need a CloudFormation template that creates a VPC with Managed NAT. Note, you can assume there are four subnets."
45,Data\groud_truth\template\DataFirehoseDeliveryStream.yaml,We need a CloudFormation template that creates an Amazon Data Firehose stream with server-side encryption set using AWS Managed keys and destination error logging enabled to a created Amazon CloudWatch log group and log stream.
46,Data\groud_truth\template\recovery.yaml,"We need a CloudFormation template that creates a resilient Jenkins CI/CD server with automated hardware failure recovery and secure access. The template should deploy Jenkins on an EC2 instance within a VPC, using a static Elastic IP for consistent public access and a security group allowing HTTP/ICMP traffic. It must automatically recover the instance via a CloudWatch alarm if system-level failures occur, ensuring continuity. The solution integrates an IAM role for Systems Manager (SSM) access, enabling secure management without SSH."
47,Data\groud_truth\template\lab3.1.3.iamrole.yaml,"We need a CloudFormation template that creates IAM roles for EC2 instances with restricted read-only access to AWS IAM metadata, which enables them to retrieve and list IAM resources without modification rights. "
48,Data\groud_truth\template\010_resources.yaml,"We need a CloudFormation template that creates an AWS Glue ETL job infrastructure. The template should provision an S3 bucket to store Glue scripts and Spark logs, define an IAM role granting AWS Glue permissions to access S3 and execute jobs, and configure a Glue job with version 4.0 using Python scripts from the bucket (gue_scripts/sample_convert.py). "
49,Data\groud_truth\template\ecs_serverless_with_fargate.yaml,We need a CloudFormation template that creates a simple Amazon ECS cluster that is setup for serverless usage with AWS Fargate.
50,Data\groud_truth\template\url2png-loadtest.yaml,"We need a CloudFormation template that creates a scalable URL-to-PNG screenshot service with automated load testing and S3/SQS integration, designed to dynamically process website screenshot requests and store results in a secure, distributed environment. The template should deploy an Auto Scaling group of EC2 instances (workers) across two Availability Zones, configured to consume messages from an SQS queue and generate screenshots using Chromium, saving outputs to an S3 bucket. It must include a load test instance that populates the queue with sample URL requests to simulate traffic, while CloudWatch alarms trigger scaling policies based on queue depth (scaling up/down between 1-2 instances). "
51,Data\groud_truth\template\loadbalancer.yaml,"We need a CloudFormation template that creates a web server infrastructure with an Application Load Balancer (ALB) and Auto Scaling group, designed to distribute traffic across multiple EC2 instances in different Availability Zones for scalability and fault tolerance. The template must provision EC2 instances via a launch template that installs and configures Apache HTTP Server, ensuring each instance dynamically generates a unique HTML page. The solution enforces security via IAM roles for SSM access, and restricts web server traffic to the ALB. "
52,Data\groud_truth\template\Route53-ARC-routing-control.yaml,"We need a CloudFormation template that creates a multi-region application failover architecture using Amazon Route 53 Application Recovery Controller (ARC). The template should configure a recovery cluster and control panel, define routing controls for two AWS regions, enforce a safety rule to maintain at least one active region at all times, and set up health checks linked to routing controls for monitoring regional application health. "
53,Data\groud_truth\template\010_emr_serverless.yaml,"We need a CloudFormation template that creates an AWS EMR Serverless environment. The template should provision an IAM role granting EMR Serverless permissions to interact with S3 and CloudWatch Logs, deploy a private S3 bucket for storing scripts and data, and configure an EMR Serverless application (`emr-6.15.0` Spark) with auto-start/auto-stop features to minimize idle costs."
54,Data\groud_truth\template\central_alert.yaml,"We need a CloudFormation template that creates a centralized Amazon SNS topic with secure cross-service notification capabilities and email subscription, designed to aggregate alerts and events from AWS services into a single channel. "
55,Data\groud_truth\template\client_security_group.yaml,We need a CloudFormation template that creates a vpc with security group.
56,Data\groud_truth\template\cognito_userpool.yaml,"We need a CloudFormation template that creates a secure Amazon Cognito User Pool with administrator-controlled user provisioning and email-based authentication, designed for applications requiring centralized user management. "
57,Data\groud_truth\template\simple_ecs.yaml,"We need a CloudFormation template that creates a basic Amazon ECS cluster with configurable monitoring capabilities, designed to serve as a foundational component for containerized workloads. "
58,Data\groud_truth\template\efs_file_system.yaml,"We need a CloudFormation template that creates a scalable and monitored Amazon EFS file system with automated backups and performance safeguards, designed for shared storage in a VPC-based environment. The template must integrate CloudWatch alarms to monitor IO utilization, burst credits, and throughput thresholds for proactive performance management. Automated backups via AWS Backup should be conditionally enabled with a customizable CRON schedule. "
59,Data\groud_truth\template\kinesis-data-stream.yaml,We need a CloudFormation template that creates an Amazon Kinesis Data Stream for real-time data ingestion and processing and alerts for read and write throughput exceeding.
60,Data\groud_truth\template\kms-key.yaml,We need a CloudFormation template that creates an AWS KMS (Key Management Service) Key for centralized encryption management. Remember to include the Alias for the key.
61,Data\groud_truth\template\route53-hosted-zone-private.yaml,"We need a CloudFormation template that creates a private Amazon Route 53 Hosted Zone for internal DNS management within a VPC. Note the domain is: ""www.example.com""."
62,Data\groud_truth\template\rds_2db_instance.yaml,"We need a CloudFormation template that creates a Amazon Aurora MySQL cluster with two database instances and customized database parameter groups. It must include two publicly accessible `db.t3.large` instances for redundancy, with parameter groups enforcing database-specific settings like `time_zone` and `sql_mode`. "
63,Data\groud_truth\template\rds_psql_export.yaml,We need a CloudFormation template that creates an Amazon Aurora MySQL cluster with CloudWatch Logs integration. The template should deploy a multi-AZ Aurora cluster with two publicly accessible instances (`db.t3.large`) across two subnets. It must enable error log exports to CloudWatch for monitoring and troubleshooting.
64,Data\groud_truth\template\arch6-lab3.yaml,"We need a CloudFormation template that creates a web application environment with a public-facing EC2 instance in a VPC. The template should deploy a VPC with public and private subnets, an internet gateway, and route tables to enable public internet access for the web server. It must provision an EC2 instance in the public subnet with Apache HTTP Server, PHP, and a sample inventory application pre-installed via user data scripts. "
65,Data\groud_truth\template\lambda_template.yaml,We need a CloudFormation template that creates a AWS Lambda function with a Node.js 20.x runtime that print hello world.
66,Data\groud_truth\template\create_vpc_example.yaml,"We need a CloudFormation template that creates a VPC with a single public subnet, internet gateway, and associated routing infrastructure, designed to enable internet accessibility for resources while providing foundational networking for demonstrations like CloudWatch EC2 auto-alarms."
67,Data\groud_truth\template\cloudwatch-config-s3-bucket.yaml,We need a CloudFormation template that creates an Amazon S3 bucket that can be made accessible to an entire AWS Organization or Organization Unit. It must also allow flexibility for single-account use (when no Organization ID is given) or enterprise-wide access.
68,Data\groud_truth\template\ssm-cloudwatch-instance-role.yaml,We need a CloudFormation template that creates an IAM role with AWS managed policy and instance profile for EC2 instances with permissions to integrate with Amazon CloudWatch and AWS Systems Manager (SSM) 
69,Data\groud_truth\template\s3_dynamodb.yaml,"We need a CloudFormation template that creates a VPC, Security Group, S3 Bucket, and DynamoDB Table with deletion protection enabled."
70,Data\groud_truth\template\base-network.yaml,"We need a CloudFormation template that creates a multi-AZ VPC with two public and two private subnets, route tables, and routes to the Internet."
71,Data\groud_truth\template\resource-dependencies-challenge.yaml,"We need a CloudFormation template that creates an EC2 instance with a security group allowing HTTP access, and an S3 bucket."
72,Data\groud_truth\template\code-server-stack.yaml,"We need a CloudFormation template that creates a secure, web-based VS Code development environment on an EC2 instance (Ubuntu 22.04) with code-server (configurable version) bound to port 8080, disabling authentication for simplified access. It restricts inbound traffic to CloudFront's regional IP ranges via a VPC, public subnet, and security group rules, while leveraging CloudFront for global HTTPS access, caching (custom policy with 1-year TTL), and request forwarding. The EC2 instance integrates with SSM for management, uses predefined IAM roles, and outputs critical details like CloudFront URL and instance metadata. Designed for demo use, it prioritizes ease of deployment with trade-offs like open HTTP origin and disabled TLS enforcement, requiring additional hardening for production."
73,Data\groud_truth\template\easy-ecs-cluster.yaml,We need a CloudFormation template that creates an Amazon ECS cluster configured to leverage both Fargate and Fargate Spot capacity providers.
74,Data\groud_truth\template\task-def-book.yaml,"We need a CloudFormation template that creates an ECS Fargate task definition and associated IAM roles to deploy a containerized application using AWS infrastructure. The template should define a task role with permissions for SSM session management (to enable executing commands into the container) and a task execution role with standard ECR image-pulling and logging capabilities. The task definition must configure a container using a public NGINX image (for simplicity in the demo), expose port 80, and integrate with AWS CloudWatch Logs for centralized logging with a 7-day retention policy. "
75,Data\groud_truth\template\CPUStressInstances.yaml,"We need a CloudFormation template that creates a Windows EC2 instance and associated AWS resources to enable CPU stress testing. The template should provision a Windows Server 2019 instance with SSM agent integration (using IAM roles and instance profiles) to allow remote command execution. It must include a custom SSM document containing a PowerShell script to simulate CPU stress by spawning threads equal to the instance's logical processors for a configurable duration. The stack should parameterize key configurations like AMI selection (via SSM), instance type (t3.nano to t3.large), and subnet usage (with a fallback to default VPC logic). Additionally, an IAM role for FIS must grant permissions to trigger SSM commands, manage logs in CloudWatch, and interact with EC2 instances. "
76,Data\groud_truth\template\setup-users.yaml,"We need a CloudFormation template that creates four IAM roles with tiered permissions to manage access controls. The template should define distinct roles for Security Admins, Admins, Users, and Non-Users, each with granular policies:

Security Admins get full FIS access, role-passing privileges for workshop-specific service roles, and permission to create service-linked roles.

Admins inherit similar permissions but explicitly deny access to FIS resources tagged as ""prod"" environments.

Users are restricted to starting/stopping experiments, viewing FIS resources, and tagging experiments while blocking production access.

Non-Users retain read-only AWS access but are explicitly denied all FIS actions.

All roles should include foundational permissions like AWS ReadOnlyAccess and conditional role-passing to FIS. "
77,Data\groud_truth\template\dynamo-tables.yaml,"We need a CloudFormation template that creates environment-specific DynamoDB tables to store supporter product data, with configurations tailored for production (PROD) and non-production (CODE) environments. The template should:

For PROD:
Deploy a table with provisioned throughput (20 read/5 write capacity units) and auto-scaling for write capacity (min 5, max 500) using a target-tracking policy.
Include encryption (SSE), time-to-live (TTL) for expiryDate, and backup tagging.

For CODE:
Use on-demand billing (PAY_PER_REQUEST) to minimize costs while retaining encryption, TTL, and backup settings.
Dynamically name tables (e.g., SupporterProductData-${Stage}) and conditionally provision resources based on the Stage parameter (PROD/CODE)."
78,Data\groud_truth\template\ipam.yaml,"We need a CloudFormation template that creates an AWS EC2 IP Address Manager (IPAM) to manage IP address allocation. Note to export critical identifiers like the IPAM ARN, ID, and default public/private scope IDs as stack outputs for cross-stack references (e.g., linking to VPCs or subnet configurations in other templates)."
79,Data\groud_truth\template\iam-policies.yaml,"We need a CloudFormation template that creates three IAM managed policies including:
1. S3 Access Policy: Grants an iOS application read/write access to a specific S3 bucket (ios-apps.sagebridge.org), including object operations (upload, download, delete) and bucket listing/location permissions.
2. DynamoDB Protection Policy: Explicitly denies deletion or schema-modification actions (e.g., DeleteTable, UpdateTable) to prevent accidental data loss in DynamoDB.
3. RDS Protection Policy: Blocks destructive RDS operations (e.g., DeleteDBInstance, DeleteDBCluster) to safeguard databases and backups."
80,Data\groud_truth\template\bedrock-agent-role.yaml,"We need a CloudFormation template that creates an IAM role that assumable only by the Bedrock service within the same AWS account, scoped to Bedrock agent resources (agent/*) and grant permissions to invoke any Bedrock foundation model and trigger Lambda functions for custom logic integration."
81,Data\groud_truth\template\patch-resource-group.yaml,"We need a CloudFormation template that creates an AWS Resource Group using tag-based filters to include instances from services like EC2, RDS, SageMaker, SSM, and others."
82,Data\groud_truth\template\alb-notebook-access-logsbucket.yaml,"We need a CloudFormation template that creates an encrypted S3 bucket (ALBAccessLogsBucket) with private access, enforced bucket ownership, and a 90-day retention policy to automatically delete old logs and a bucket policy allowing AWS ELB accounts and delivery.logs.amazonaws.com to write logs, ensuring compliance with AWS requirements for ALB logging while restricting public access."
83,Data\groud_truth\template\tgw.yaml,"We need a CloudFormation template that creates an AWS Transit Gateway (TGW) and a Resource Access Manager (RAM) resource share to centralize and simplify network connectivity across multiple VPCs and AWS accounts. The template should:

Deploy a Transit Gateway with predefined BGP settings (ASN 65000), automatic attachment acceptance, and default route propagation/association for seamless cross-VPC routing.

Share the Transit Gateway to AWS account with if of (644519422710) to enable cross-account network connectivity without manual resource duplication.

Export the Transit Gateway ID and Resource Share ID with stack-specific names for integration with VPC attachments or other networking components."
84,Data\groud_truth\template\macie.yaml,We need a CloudFormation template that creates an AWS Macie session to enable automated sensitive data discovery and security monitoring across AWS accounts.
85,Data\groud_truth\template\CloudWatch2S3-bucket.yaml,We need a CloudFormation template that creates a secure and cost-optimized S3 bucket for storing CloudWatch export data with configurable versioning and automated lifecycle management. 
86,Data\groud_truth\template\guardduty.yaml,We need a CloudFormation template that creates an AWS GuardDuty detector to enable continuous security monitoring for malicious activity in EC2 instances. 
87,Data\groud_truth\template\essentials.yaml,"We need a CloudFormation template that creates an S3 bucket for Lambda artifacts and a KMS key for encryption. The template should:

Provision a publicly accessible S3 bucket and enabling easy distribution of Lambda deployment packages or static assets. 

Define a customer-managed KMS key with automatic rotation and granular IAM policies to allow administration/usage by the root account and an imported service role.

Create a KMS key alias for simplified key referencing."
88,Data\groud_truth\template\sc-s3-launchrole.yaml,"We need a CloudFormation template that creates an IAM role for AWS Service Catalog to enable secure provisioning and management of S3 and Lambda resources. The template should:

Define a role assumable by Service Catalog, with pre-attached managed policies for full S3 access and basic Lambda execution.

Grant granular permissions for Service Catalog operations (e.g., provisioning products), IAM role/policy management, Lambda function lifecycle actions, CloudFormation stack operations, and SNS integration to support end-to-end resource deployment workflows."
89,Data\groud_truth\template\security-hub.yaml,We need a CloudFormation template that creates an AWS Security Hub resource that enables default standards and turns on consolidated control findings.
90,Data\groud_truth\template\ec2-image-builder.yaml,"We need a CloudFormation template that creates AWS resources for EC2 Image Builder to automate the creation, management, and logging of secure AMIs (Amazon Machine Images). The template should:

Define an IAM role and instance profile with permissions for Systems Manager (SSM) and Image Builder operations, enabling EC2 instances to be managed and tagged during image creation.

Provision an S3 bucket with public access controls disabled for storing image build logs, tagged with an owner email (u12345678@anu.edu.au) for accountability.

Attach a managed IAM policy granting read/write access to the logs bucket and basic S3 listing permissions, ensuring Image Builder can store and retrieve log data securely."
91,Data\groud_truth\template\bucket_for_vpc.yaml,"We need a CloudFormation template that creates a S3 bucket for storing VPC flow logs with automated lifecycle management and strict access controls. The template should:

Provision an S3 bucket with AES256 encryption, optional custom naming, and versioning (enabled/suspended via parameter) to securely store network traffic logs.

Define parameter-driven lifecycle rules to transition logs to cost-effective storage classes (e.g., Glacier) after a specified number of days (default: 30) and delete them after a configurable retention period (default: 365,000 days), balancing compliance and cost optimization.

Attach a bucket policy allowing only the delivery.logs.amazonaws.com service to write logs with bucket-owner-full-control ACLs, ensuring secure log ingestion for VPC flow monitoring."
92,Data\groud_truth\template\BashScriptAssociation.yaml,"We need a CloudFormation template that creates a self-configuring EC2 instance with automated Nginx installation and centralized logging using AWS Systems Manager (SSM). The template should:

Provision an EC2 instance (Linux 2) with the latest Amazon Linux AMI, an IAM role for SSM access, and permissions to read/write logs to a dedicated S3 bucket.

Automate Nginx installation via an SSM Association that executes a shell script (AWS-RunShellScript) during instance launch, ensuring the web server starts immediately.

Configure SSM logging to store command outputs in an S3 bucket with structured paths (logs/) for auditability."
93,Data\groud_truth\template\BashScriptAssociationTags.yaml,"We need a CloudFormation template that creates an auto-configuring EC2 instance with tag-driven Nginx installation and enhanced monitoring using AWS Systems Manager (SSM). The template should:

Provision an EC2 instance (Linux 2) with the latest Amazon Linux AMI, an IAM role for SSM access, and permissions to read/write logs to a dedicated S3 bucket.

Automate Nginx installation via an SSM Association that triggers on the instance tag, executing a shell script to install and start the web server, ensuring consistent configuration across tagged instances.

Configure centralized logging to an S3 bucket and integrate CloudWatch monitoring for performance insights, enabling observability of the instance and application."
94,Data\groud_truth\template\BashScriptSSMAutomation.yaml,"We need a CloudFormation template that creates an EC2 instance with automated OS updates, Nginx installation, and validation workflows using AWS Systems Manager (SSM) Automation. The template should:

Deploy an EC2 instance (Linux 2) with the latest Amazon Linux AMI and an IAM role granting SSM permissions for command execution, S3 log storage access, and CloudWatch monitoring.

Define a custom SSM Automation document to orchestrate a multi-step process: OS updates with reboot checks, Nginx installation, and curl-based validation of the web server, ensuring end-to-end configuration integrity.

Configure centralized logging to an S3 bucket for auditability and leverage IAM roles to enforce least-privilege access for SSM operations (e.g., associations, command execution)."
95,Data\groud_truth\template\BashScriptSSMAutomationTags.yaml,"We need a CloudFormation template that creates an EC2 instance with tag-driven automation for OS updates, Nginx installation, and validation using AWS Systems Manager (SSM). The template should:

Deploy an EC2 instance (Linux 2) with the latest Amazon Linux AMI, an IAM role for SSM access, and a tag to trigger automated workflows.

Define a custom SSM Automation document to execute a multi-step process: OS updates with reboot checks, Nginx installation, and curl-based validation of the web server, ensuring end-to-end configuration integrity.

Target instances based on the nginx: Yes tag, enabling dynamic automation for tagged resources without hardcoding instance IDs."
