resource,service,total_props,required_props,required_names
AWS::DMS::ReplicationConfig,DMS,10,6,"ReplicationConfigIdentifier, ComputeConfig, ReplicationType, TableMappings, SourceEndpointArn"
AWS::PCS::ComputeNodeGroup,PCS,12,6,"ClusterId, ScalingConfiguration, InstanceConfigs, CustomLaunchTemplate, SubnetIds"
AWS::Evidently::Experiment,Evidently,12,5,"Project, MetricGoals, OnlineAbConfig, Treatments, Name"
AWS::SSMContacts::Rotation,SSMContacts,6,5,"Recurrence, TimeZoneId, StartTime, Name, ContactIds"
AWS::Cognito::Terms,Cognito,6,5,"Enforcement, UserPoolId, TermsName, Links, TermsSource"
AWS::EntityResolution::MatchingWorkflow,EntityResolution,8,5,"ResolutionTechniques, InputSourceConfig, WorkflowName, OutputSourceConfig, RoleArn"
AWS::SageMaker::DataQualityJobDefinition,SageMaker,11,5,"DataQualityJobInput, DataQualityAppSpecification, JobResources, DataQualityJobOutputConfig, RoleArn"
AWS::AppConfig::Deployment,AppConfig,9,5,"DeploymentStrategyId, ConfigurationProfileId, EnvironmentId, ConfigurationVersion, ApplicationId"
AWS::SSM::MaintenanceWindow,SSM,11,5,"AllowUnassociatedTargets, Cutoff, Schedule, Duration, Name"
AWS::SageMaker::InferenceExperiment,SageMaker,13,5,"ModelVariants, RoleArn, Name, Type, EndpointName"
AWS::CodePipeline::Webhook,CodePipeline,8,5,"AuthenticationConfiguration, Filters, Authentication, TargetPipeline, TargetAction"
AWS::CodePipeline::CustomActionType,CodePipeline,8,5,"Category, InputArtifactDetails, Version, OutputArtifactDetails, Provider"
AWS::AppFlow::Flow,AppFlow,10,5,"Tasks, FlowName, TriggerConfig, DestinationFlowConfigList, SourceFlowConfig"
AWS::MSK::VpcConnection,MSK,6,5,"SecurityGroups, TargetClusterArn, ClientSubnets, VpcId, Authentication"
AWS::Glue::TableOptimizer,Glue,5,5,"TableName, Type, DatabaseName, TableOptimizerConfiguration, CatalogId"
AWS::ImageBuilder::ContainerRecipe,ImageBuilder,15,5,"ParentImage, ContainerType, Name, TargetRepository, Version"
AWS::BedrockAgentCore::OnlineEvaluationConfig,BedrockAgentCore,8,5,"OnlineEvaluationConfigName, DataSourceConfig, EvaluationExecutionRoleArn, Evaluators, Rule"
AWS::MediaConnect::RouterOutput,MediaConnect,9,5,"RoutingScope, Configuration, Tier, MaximumBitrate, Name"
AWS::MediaConnect::RouterInput,MediaConnect,10,5,"RoutingScope, Configuration, Tier, MaximumBitrate, Name"
AWS::MediaConnect::FlowVpcInterface,MediaConnect,5,5,"SubnetId, FlowArn, SecurityGroupIds, RoleArn, Name"
AWS::QLDB::Stream,QLDB,7,5,"InclusiveStartTime, StreamName, KinesisConfiguration, LedgerName, RoleArn"
AWS::QuickSight::Theme,QuickSight,8,5,"ThemeId, Configuration, BaseThemeId, AwsAccountId, Name"
AWS::MPA::ApprovalTeam,MPA,6,5,"ApprovalStrategy, Policies, Description, Approvers, Name"
AWS::LookoutEquipment::InferenceScheduler,LookoutEquipment,9,5,"DataUploadFrequency, ModelName, DataInputConfiguration, DataOutputConfiguration, RoleArn"
AWS::Logs::ScheduledQuery,Logs,14,5,"ScheduleExpression, QueryString, Name, ExecutionRoleArn, QueryLanguage"
AWS::Chatbot::MicrosoftTeamsChannelConfiguration,Chatbot,12,5,"IamRoleArn, TeamId, ConfigurationName, TeamsTenantId, TeamsChannelId"
AWS::ApplicationAutoScaling::ScalableTarget,ApplicationAutoScaling,8,5,"ResourceId, ServiceNamespace, ScalableDimension, MinCapacity, MaxCapacity"
AWS::RTBFabric::ResponderGateway,RTBFabric,10,5,"VpcId, Port, Protocol, SubnetIds, SecurityGroupIds"
AWS::Lightsail::Database,Lightsail,15,5,"RelationalDatabaseName, RelationalDatabaseBlueprintId, MasterDatabaseName, MasterUsername, RelationalDatabaseBundleId"
AWS::SageMaker::ModelBiasJobDefinition,SageMaker,11,5,"ModelBiasJobInput, ModelBiasJobOutputConfig, JobResources, ModelBiasAppSpecification, RoleArn"
AWS::ImageBuilder::LifecyclePolicy,ImageBuilder,8,5,"ResourceType, PolicyDetails, ExecutionRole, ResourceSelection, Name"
AWS::ComputeOptimizer::AutomationRule,ComputeOptimizer,10,5,"Status, RecommendedActionTypes, Schedule, RuleType, Name"
AWS::CodeStarNotifications::NotificationRule,CodeStarNotifications,10,5,"EventTypeIds, DetailType, Resource, Targets, Name"
AWS::Batch::QuotaShare,Batch,7,5,"PreemptionConfiguration, JobQueue, ResourceSharingConfiguration, CapacityLimits, QuotaShareName"
AWS::WorkSpacesWeb::UserSettings,WorkSpacesWeb,15,5,"PrintAllowed, CopyAllowed, DownloadAllowed, UploadAllowed, PasteAllowed"
AWS::Wisdom::AIPrompt,Wisdom,9,5,"Type, ApiFormat, TemplateConfiguration, TemplateType, ModelId"
AWS::Deadline::Fleet,Deadline,9,5,"Configuration, MaxWorkerCount, DisplayName, FarmId, RoleArn"
AWS::EC2::LocalGatewayVirtualInterface,EC2,8,5,"OutpostLagId, LocalAddress, PeerAddress, Vlan, LocalGatewayVirtualInterfaceGroupId"
AWS::Connect::RoutingProfile,Connect,9,5,"Description, MediaConcurrencies, InstanceArn, DefaultOutboundQueueArn, Name"
AWS::ARCRegionSwitch::Plan,ARCRegionSwitch,12,5,"Workflows, Regions, RecoveryApproach, ExecutionRole, Name"
AWS::SecurityLake::Subscriber,SecurityLake,7,5,"SubscriberIdentity, SubscriberName, AccessTypes, Sources, DataLakeArn"
AWS::DocDBElastic::Cluster,DocDBElastic,14,5,"AdminUserName, ShardCount, ShardCapacity, ClusterName, AuthType"
AWS::Deadline::QueueEnvironment,Deadline,5,5,"Priority, QueueId, TemplateType, FarmId, Template"
AWS::DMS::ReplicationTask,DMS,13,5,"MigrationType, TargetEndpointArn, ReplicationInstanceArn, TableMappings, SourceEndpointArn"
AWS::SecurityHub::AutomationRuleV2,SecurityHub,7,5,"Description, Actions, Criteria, RuleOrder, RuleName"
AWS::SecurityHub::AutomationRule,SecurityHub,8,5,"Description, Actions, Criteria, RuleOrder, RuleName"
AWS::Timestream::ScheduledQuery,Timestream,10,5,"ScheduledQueryExecutionRoleArn, ErrorReportConfiguration, ScheduleConfiguration, QueryString, NotificationConfiguration"
AWS::SageMaker::ModelExplainabilityJobDefinition,SageMaker,11,5,"ModelExplainabilityJobOutputConfig, JobResources, RoleArn, ModelExplainabilityJobInput, ModelExplainabilityAppSpecification"
AWS::SageMaker::ModelQualityJobDefinition,SageMaker,11,5,"ModelQualityAppSpecification, ModelQualityJobInput, JobResources, ModelQualityJobOutputConfig, RoleArn"
AWS::SageMaker::PartnerApp,SageMaker,12,5,"ExecutionRoleArn, Type, Tier, AuthType, Name"
AWS::DirectConnect::TransitVirtualInterface,DirectConnect,9,5,"BgpPeers, ConnectionId, DirectConnectGatewayId, VirtualInterfaceName, Vlan"
AWS::AmazonMQ::Broker,AmazonMQ,20,5,"HostInstanceType, BrokerName, DeploymentMode, EngineType, PubliclyAccessible"
AWS::EKS::Capability,EKS,7,5,"Type, ClusterName, DeletePropagationPolicy, CapabilityName, RoleArn"
AWS::Chatbot::SlackChannelConfiguration,Chatbot,10,4,"SlackWorkspaceId, SlackChannelId, IamRoleArn, ConfigurationName"
AWS::CustomerProfiles::EventTrigger,CustomerProfiles,8,4,"DomainName, ObjectTypeName, EventTriggerConditions, EventTriggerName"
AWS::CleanRooms::ConfiguredTable,CleanRooms,8,4,"AnalysisMethod, TableReference, AllowedColumns, Name"
AWS::CleanRooms::Collaboration,CleanRooms,15,4,"CreatorDisplayName, Description, Name, QueryLogStatus"
AWS::CustomerProfiles::CalculatedAttributeDefinition,CustomerProfiles,9,4,"AttributeDetails, Statistic, DomainName, CalculatedAttributeName"
AWS::CleanRooms::ConfiguredTableAssociation,CleanRooms,7,4,"MembershipIdentifier, ConfiguredTableIdentifier, RoleArn, Name"
AWS::Deadline::Limit,Deadline,5,4,"AmountRequirementName, DisplayName, MaxCount, FarmId"
AWS::CleanRooms::AnalysisTemplate,CleanRooms,11,4,"MembershipIdentifier, Format, Source, Name"
AWS::CleanRooms::PrivacyBudgetTemplate,CleanRooms,5,4,"PrivacyBudgetType, MembershipIdentifier, Parameters, AutoRefresh"
AWS::MSK::Cluster,MSK,13,4,"KafkaVersion, NumberOfBrokerNodes, BrokerNodeGroupInfo, ClusterName"
AWS::Deadline::Monitor,Deadline,5,4,"IdentityCenterInstanceArn, Subdomain, DisplayName, RoleArn"
AWS::DataBrew::Project,DataBrew,6,4,"RecipeName, DatasetName, RoleArn, Name"
AWS::MSK::Replicator,MSK,6,4,"ServiceExecutionRoleArn, ReplicatorName, ReplicationInfoList, KafkaClusters"
AWS::MSK::Topic,MSK,5,4,"ClusterArn, ReplicationFactor, PartitionCount, TopicName"
AWS::OSIS::Pipeline,OSIS,11,4,"PipelineConfigurationBody, MinUnits, PipelineName, MaxUnits"
AWS::Notifications::EventRule,Notifications,5,4,"EventType, NotificationConfigurationArn, Regions, Source"
AWS::NetworkManager::ConnectAttachment,NetworkManager,9,4,"Options, TransportAttachmentId, CoreNetworkId, EdgeLocation"
AWS::Bedrock::IntelligentPromptRouter,Bedrock,6,4,"PromptRouterName, FallbackModel, RoutingCriteria, Models"
AWS::DataZone::DataSource,DataZone,13,4,"ProjectIdentifier, Name, Type, DomainIdentifier"
AWS::BedrockAgentCore::Gateway,BedrockAgentCore,12,4,"AuthorizerType, ProtocolType, RoleArn, Name"
AWS::MediaPackageV2::OriginEndpointPolicy,MediaPackageV2,5,4,"Policy, ChannelName, OriginEndpointName, ChannelGroupName"
AWS::MediaPackageV2::OriginEndpoint,MediaPackageV2,13,4,"ContainerType, ChannelName, OriginEndpointName, ChannelGroupName"
AWS::MediaPackage::Asset,MediaPackage,7,4,"SourceArn, Id, PackagingGroupId, SourceRoleArn"
AWS::BedrockAgentCore::Runtime,BedrockAgentCore,11,4,"NetworkConfiguration, AgentRuntimeName, AgentRuntimeArtifact, RoleArn"
AWS::DataZone::FormType,DataZone,6,4,"Model, OwningProjectIdentifier, DomainIdentifier, Name"
AWS::DataZone::Owner,DataZone,4,4,"EntityType, Owner, EntityIdentifier, DomainIdentifier"
AWS::DataZone::PolicyGrant,DataZone,6,4,"EntityType, PolicyType, EntityIdentifier, DomainIdentifier"
AWS::MediaConnect::FlowEntitlement,MediaConnect,8,4,"Description, Subscribers, FlowArn, Name"
AWS::CE::AnomalySubscription,CE,7,4,"MonitorArnList, Frequency, SubscriptionName, Subscribers"
AWS::DirectConnect::PrivateVirtualInterface,DirectConnect,10,4,"BgpPeers, ConnectionId, VirtualInterfaceName, Vlan"
AWS::DataZone::ProjectMembership,DataZone,4,4,"ProjectIdentifier, Designation, Member, DomainIdentifier"
AWS::Lightsail::Distribution,Lightsail,10,4,"Origin, DistributionName, BundleId, DefaultCacheBehavior"
AWS::EMR::Step,EMR,6,4,"JobFlowId, ActionOnFailure, HadoopJarStep, Name"
AWS::DirectConnect::PublicVirtualInterface,DirectConnect,7,4,"BgpPeers, ConnectionId, VirtualInterfaceName, Vlan"
AWS::Connect::ContactFlow,Connect,7,4,"Type, Content, InstanceArn, Name"
AWS::FMS::Policy,FMS,15,4,"ExcludeResourceTags, SecurityServicePolicyData, RemediationEnabled, PolicyName"
AWS::FIS::ExperimentTemplate,FIS,9,4,"Description, StopConditions, Targets, RoleArn"
AWS::Connect::HoursOfOperation,Connect,9,4,"TimeZone, Config, InstanceArn, Name"
AWS::Connect::EvaluationForm,Connect,11,4,"Status, InstanceArn, Title, Items"
AWS::EC2::TrafficMirrorSession,EC2,9,4,"TrafficMirrorTargetId, SessionNumber, NetworkInterfaceId, TrafficMirrorFilterId"
AWS::Evidently::Launch,Evidently,9,4,"Project, Groups, ScheduledSplitsConfig, Name"
AWS::EC2::TransitGatewayPeeringAttachment,EC2,5,4,"TransitGatewayId, PeerTransitGatewayId, PeerAccountId, PeerRegion"
AWS::EntityResolution::IdMappingWorkflow,EntityResolution,8,4,"InputSourceConfig, IdMappingTechniques, WorkflowName, RoleArn"
AWS::EC2::NetworkAclEntry,EC2,9,4,"NetworkAclId, RuleAction, RuleNumber, Protocol"
AWS::Cognito::UserPoolIdentityProvider,Cognito,6,4,"ProviderName, UserPoolId, ProviderDetails, ProviderType"
AWS::EKS::PodIdentityAssociation,EKS,8,4,"ServiceAccount, ClusterName, RoleArn, Namespace"
AWS::EMR::Cluster,EMR,27,4,"Instances, JobFlowRole, Name, ServiceRole"
AWS::EMR::InstanceGroupConfig,EMR,11,4,"InstanceCount, InstanceRole, InstanceType, JobFlowId"
AWS::EMRContainers::Endpoint,EMRContainers,7,4,"ExecutionRoleArn, Type, VirtualClusterId, ReleaseLabel"
AWS::EMR::StudioSessionMapping,EMR,4,4,"IdentityType, SessionPolicyArn, StudioId, IdentityName"
AWS::Comprehend::DocumentClassifier,Comprehend,12,4,"LanguageCode, DataAccessRoleArn, DocumentClassifierName, InputDataConfig"
AWS::EC2::NetworkPerformanceMetricSubscription,EC2,4,4,"Destination, Statistic, Metric, Source"
AWS::Forecast::Dataset,Forecast,7,4,"DatasetName, Schema, DatasetType, Domain"
AWS::ConnectCampaigns::Campaign,ConnectCampaigns,5,4,"OutboundCallConfig, ConnectInstanceArn, DialerConfig, Name"
AWS::Connect::User,Connect,16,4,"RoutingProfileArn, Username, InstanceArn, SecurityProfileArns"
AWS::Lex::Bot,Lex,13,4,"RoleArn, Name, IdleSessionTTLInSeconds, DataPrivacy"
AWS::Connect::View,Connect,6,4,"Actions, InstanceArn, Name, Template"
AWS::LakeFormation::DataCellsFilter,LakeFormation,7,4,"TableName, DatabaseName, TableCatalogId, Name"
AWS::Kendra::Faq,Kendra,8,4,"IndexId, S3Path, RoleArn, Name"
AWS::IoTFleetWise::Campaign,IoTFleetWise,19,4,"SignalCatalogArn, Name, TargetArn, CollectionScheme"
AWS::CloudFront::RealtimeLogConfig,CloudFront,4,4,"Fields, EndPoints, SamplingRate, Name"
AWS::InspectorV2::CisScanConfiguration,InspectorV2,5,4,"SecurityLevel, Schedule, Targets, ScanName"
AWS::ACMPCA::CertificateAuthority,ACMPCA,9,4,"Type, SigningAlgorithm, Subject, KeyAlgorithm"
AWS::FraudDetector::EventType,FraudDetector,6,4,"EntityTypes, Labels, EventVariables, Name"
AWS::GroundStation::MissionProfile,GroundStation,10,4,"MinimumViableContactDurationSeconds, DataflowEdges, TrackingConfigArn, Name"
AWS::Glue::Partition,Glue,4,4,"TableName, DatabaseName, CatalogId, PartitionInput"
AWS::EC2::IPAMPrefixListResolverTarget,EC2,6,4,"PrefixListRegion, PrefixListId, IpamPrefixListResolverId, TrackLatestVersion"
AWS::CodeBuild::Project,CodeBuild,25,4,"Source, ServiceRole, Artifacts, Environment"
AWS::GameLift::MatchmakingConfiguration,GameLift,17,4,"Name, RequestTimeoutSeconds, AcceptanceRequired, RuleSetName"
AWS::GameLift::ContainerGroupDefinition,GameLift,10,4,"OperatingSystem, TotalMemoryLimitMebibytes, TotalVcpuLimit, Name"
AWS::FraudDetector::Variable,FraudDetector,7,4,"DefaultValue, DataType, Name, DataSource"
AWS::LakeFormation::PrincipalPermissions,LakeFormation,5,4,"Resource, Permissions, Principal, PermissionsWithGrantOption"
AWS::ACMPCA::Certificate,ACMPCA,7,4,"CertificateAuthorityArn, Validity, CertificateSigningRequest, SigningAlgorithm"
AWS::ResourceGroups::TagSyncTask,ResourceGroups,4,4,"Group, TagKey, TagValue, RoleArn"
AWS::Transfer::Agreement,Transfer,11,4,"ServerId, AccessRole, PartnerProfileId, LocalProfileId"
AWS::WAFRegional::RateBasedRule,WAFRegional,5,4,"MetricName, RateLimit, RateKey, Name"
AWS::Personalize::Dataset,Personalize,5,4,"DatasetGroupArn, DatasetType, SchemaArn, Name"
AWS::SageMaker::App,SageMaker,7,4,"DomainId, AppType, UserProfileName, AppName"
AWS::Pinpoint::Campaign,Pinpoint,18,4,"SegmentId, Name, Schedule, ApplicationId"
AWS::RDS::DBProxy,RDS,13,4,"DBProxyName, VpcSubnetIds, RoleArn, EngineFamily"
AWS::AppConfig::DeploymentStrategy,AppConfig,8,4,"ReplicateTo, DeploymentDurationInMinutes, GrowthFactor, Name"
AWS::B2BI::Profile,B2BI,6,4,"Logging, BusinessName, Phone, Name"
AWS::B2BI::Partnership,B2BI,7,4,"ProfileId, Email, Capabilities, Name"
AWS::QBusiness::DataAccessor,QBusiness,6,4,"DisplayName, ActionConfigurations, ApplicationId, Principal"
AWS::Redshift::Cluster,Redshift,52,4,"NodeType, MasterUsername, ClusterType, DBName"
AWS::SageMaker::FeatureGroup,SageMaker,10,4,"FeatureDefinitions, RecordIdentifierFeatureName, EventTimeFeatureName, FeatureGroupName"
AWS::QBusiness::DataSource,QBusiness,11,4,"IndexId, Configuration, DisplayName, ApplicationId"
AWS::SupportApp::SlackChannelConfiguration,SupportApp,8,4,"ChannelRoleArn, NotifyOnCaseSeverity, TeamId, ChannelId"
AWS::QBusiness::Permission,QBusiness,5,4,"Actions, StatementId, ApplicationId, Principal"
AWS::Signer::ProfilePermission,Signer,5,4,"Action, StatementId, ProfileName, Principal"
AWS::QBusiness::Retriever,QBusiness,6,4,"Type, Configuration, DisplayName, ApplicationId"
AWS::QuickSight::ActionConnector,QuickSight,9,4,"Type, ActionConnectorId, AwsAccountId, Name"
AWS::ApiGatewayV2::RoutingRule,ApiGatewayV2,4,4,"Actions, Priority, DomainNameArn, Conditions"
AWS::AppSync::ApiCache,AppSync,7,4,"Type, ApiId, ApiCachingBehavior, Ttl"
AWS::AppConfig::HostedConfigurationVersion,AppConfig,7,4,"ConfigurationProfileId, ContentType, Content, ApplicationId"
AWS::AppIntegrations::Application,AppIntegrations,10,4,"ApplicationSourceConfig, Description, Namespace, Name"
AWS::SSM::MaintenanceWindowTask,SSM,14,4,"Priority, TaskArn, WindowId, TaskType"
AWS::S3Tables::Table,S3Tables,10,4,"TableName, TableBucketARN, OpenTableFormat, Namespace"
AWS::AppStream::AppBlockBuilder,AppStream,11,4,"Platform, VpcConfig, InstanceType, Name"
AWS::RefactorSpaces::Service,RefactorSpaces,9,4,"EnvironmentIdentifier, EndpointType, ApplicationIdentifier, Name"
AWS::RoboMaker::SimulationApplication,RoboMaker,7,4,"RenderingEngine, SimulationSoftwareSuite, RobotSoftwareSuite, Sources"
AWS::RefactorSpaces::Route,RefactorSpaces,7,4,"EnvironmentIdentifier, RouteType, ServiceIdentifier, ApplicationIdentifier"
AWS::RefactorSpaces::Application,RefactorSpaces,6,4,"EnvironmentIdentifier, VpcId, ProxyType, Name"
AWS::WorkSpaces::WorkspacesPool,WorkSpaces,8,4,"BundleId, DirectoryId, Capacity, PoolName"
AWS::SMSVOICE::PhoneNumber,SMSVOICE,10,4,"NumberType, NumberCapabilities, MandatoryKeywords, IsoCountryCode"
AWS::Route53::KeySigningKey,Route53,4,4,"Status, KeyManagementServiceArn, HostedZoneId, Name"
AWS::Redshift::EndpointAccess,Redshift,5,4,"EndpointName, VpcSecurityGroupIds, SubnetGroupName, ClusterIdentifier"
AWS::Wisdom::MessageTemplate,Wisdom,10,4,"Content, KnowledgeBaseArn, ChannelSubtype, Name"
AWS::SSMContacts::ContactChannel,SSMContacts,5,4,"ChannelName, ChannelAddress, ContactId, ChannelType"
AWS::Backup::RestoreTestingSelection,Backup,8,4,"ProtectedResourceType, RestoreTestingSelectionName, RestoreTestingPlanName, IamRoleArn"
AWS::AppStream::Entitlement,AppStream,5,4,"AppVisibility, Attributes, StackName, Name"
AWS::SecretsManager::SecretTargetAttachment,SecretsManager,3,3,"SecretId, TargetType, TargetId"
AWS::SageMaker::StudioLifecycleConfig,SageMaker,4,3,"StudioLifecycleConfigAppType, StudioLifecycleConfigName, StudioLifecycleConfigContent"
AWS::ECS::ExpressGatewayService,ECS,12,3,"ExecutionRoleArn, InfrastructureRoleArn, PrimaryContainer"
AWS::ECS::PrimaryTaskSet,ECS,3,3,"TaskSetId, Cluster, Service"
AWS::SageMaker::Pipeline,SageMaker,7,3,"PipelineName, PipelineDefinition, RoleArn"
AWS::EC2::VerifiedAccessEndpoint,EC2,16,3,"AttachmentType, VerifiedAccessGroupId, EndpointType"
AWS::SecurityAgent::Pentest,SecurityAgent,9,3,"ServiceRole, Assets, AgentSpaceId"
AWS::ECS::TaskSet,ECS,12,3,"TaskDefinition, Cluster, Service"
AWS::Scheduler::Schedule,Scheduler,11,3,"ScheduleExpression, Target, FlexibleTimeWindow"
AWS::EFS::MountTarget,EFS,6,3,"SecurityGroups, FileSystemId, SubnetId"
AWS::EKS::Nodegroup,EKS,20,3,"NodeRole, Subnets, ClusterName"
AWS::EC2::TransitGatewayVpcAttachment,EC2,7,3,"TransitGatewayId, VpcId, SubnetIds"
AWS::EKS::FargateProfile,EKS,6,3,"ClusterName, PodExecutionRoleArn, Selectors"
AWS::SageMaker::ProcessingJob,SageMaker,11,3,"ProcessingResources, AppSpecification, RoleArn"
AWS::OpsWorks::Stack,OpsWorks,25,3,"DefaultInstanceProfileArn, Name, ServiceRoleArn"
AWS::SageMaker::ModelCard,SageMaker,7,3,"ModelCardName, ModelCardStatus, Content"
AWS::Evidently::Feature,Evidently,8,3,"Project, Variations, Name"
AWS::S3Vectors::Index,S3Vectors,9,3,"DistanceMetric, DataType, Dimension"
AWS::FraudDetector::Detector,FraudDetector,8,3,"EventType, DetectorId, Rules"
AWS::SES::MailManagerIngressPoint,SES,8,3,"RuleSetId, Type, TrafficPolicyId"
AWS::SES::MailManagerRelay,SES,5,3,"Authentication, ServerName, ServerPort"
AWS::FSx::DataRepositoryAssociation,FSx,7,3,"FileSystemPath, DataRepositoryPath, FileSystemId"
AWS::SSM::MaintenanceWindowTarget,SSM,6,3,"WindowId, ResourceType, Targets"
AWS::FIS::TargetAccountConfiguration,FIS,4,3,"AccountId, ExperimentTemplateId, RoleArn"
AWS::SSMContacts::Contact,SSMContacts,5,3,"Type, Alias, DisplayName"
AWS::SSMQuickSetup::LifecycleAutomation,SSMQuickSetup,4,3,"AutomationParameters, AutomationDocument, ResourceKey"
AWS::Events::ApiDestination,Events,6,3,"ConnectionArn, InvocationEndpoint, HttpMethod"
AWS::SageMaker::MlflowTrackingServer,SageMaker,8,3,"TrackingServerName, ArtifactStoreUri, RoleArn"
AWS::EventSchemas::Schema,EventSchemas,6,3,"Type, Content, RegistryName"
AWS::SSO::Application,SSO,7,3,"ApplicationProviderArn, InstanceArn, Name"
AWS::SSO::ApplicationAssignment,SSO,3,3,"ApplicationArn, PrincipalId, PrincipalType"
AWS::ElasticLoadBalancingV2::ListenerRule,ElasticLoadBalancingV2,5,3,"Actions, Priority, Conditions"
AWS::ElastiCache::UserGroup,ElastiCache,4,3,"UserGroupId, Engine, UserIds"
AWS::ElastiCache::User,ElastiCache,8,3,"UserName, UserId, Engine"
AWS::ElastiCache::CacheCluster,ElastiCache,25,3,"CacheNodeType, Engine, NumCacheNodes"
AWS::EC2::TransitGatewayMulticastGroupSource,EC2,3,3,"TransitGatewayMulticastDomainId, NetworkInterfaceId, GroupIpAddress"
AWS::SageMaker::Domain,SageMaker,12,3,"DomainName, DefaultUserSettings, AuthMode"
AWS::SageMaker::DeviceFleet,SageMaker,5,3,"DeviceFleetName, OutputConfig, RoleArn"
AWS::SecurityLake::AwsLogSource,SecurityLake,4,3,"SourceName, SourceVersion, DataLakeArn"
AWS::EC2::TransitGatewayMulticastGroupMember,EC2,3,3,"TransitGatewayMulticastDomainId, NetworkInterfaceId, GroupIpAddress"
AWS::WAF::WebACL,WAF,4,3,"DefaultAction, MetricName, Name"
AWS::DirectConnect::Connection,DirectConnect,7,3,"ConnectionName, Bandwidth, Location"
AWS::DevOpsAgent::Association,DevOpsAgent,4,3,"Configuration, AgentSpaceId, ServiceId"
AWS::Detective::MemberInvitation,Detective,5,3,"MemberId, GraphArn, MemberEmailAddress"
AWS::WAFRegional::WebACL,WAFRegional,4,3,"MetricName, DefaultAction, Name"
AWS::Deadline::StorageProfile,Deadline,4,3,"DisplayName, FarmId, OsFamily"
AWS::Deadline::QueueLimitAssociation,Deadline,3,3,"LimitId, QueueId, FarmId"
AWS::Deadline::QueueFleetAssociation,Deadline,3,3,"FleetId, QueueId, FarmId"
AWS::WAFv2::IPSet,WAFv2,6,3,"Addresses, Scope, IPAddressVersion"
AWS::WAFv2::RuleGroup,WAFv2,10,3,"Scope, Capacity, VisibilityConfig"
AWS::WAFv2::WebACL,WAFv2,15,3,"VisibilityConfig, DefaultAction, Scope"
AWS::Deadline::LicenseEndpoint,Deadline,4,3,"VpcId, SecurityGroupIds, SubnetIds"
AWS::Wisdom::AIAgent,Wisdom,6,3,"Type, Configuration, AssistantId"
AWS::Wisdom::AIGuardrail,Wisdom,11,3,"BlockedInputMessaging, AssistantId, BlockedOutputsMessaging"
AWS::Wisdom::AssistantAssociation,Wisdom,4,3,"Association, AssociationType, AssistantId"
AWS::Wisdom::QuickResponse,Wisdom,11,3,"Content, KnowledgeBaseArn, Name"
