row,ground_truth_path,prompt_preview,overall_status,yaml_gate,cfn_lint_gate,deploy_gate,error_summary
37,Data\groud_truth\template\compliant-bucket.yaml,We need a CloudFormation template that creates a secure bucket that passes defau,✅ PASSED,✅,✅,⏭️,
38,Data\groud_truth\template\S3_LambdaTrigger.yaml,We need a CloudFormation template that creates a S3 bucket trigger lambda functi,✅ PASSED,✅,✅,⏭️,
39,Data\groud_truth\template\ecr.yaml,We need a CloudFormation template that creates an Amazon ECR repository, which i,✅ PASSED,✅,✅,⏭️,
40,Data\groud_truth\template\SQSFIFOQueue.yaml,We need a CloudFormation template that creates SQS FIFO Queue.,✅ PASSED,✅,✅,⏭️,
41,Data\groud_truth\template\SQSStandardQueue.yaml,We need a CloudFormation template that creates SQS Standard Queue.,✅ PASSED,✅,✅,⏭️,
42,Data\groud_truth\template\FindInMapAZs.yaml,We need a CloudFormation template that creates a VPC, with a pair of public and ,✅ PASSED,✅,✅,⏭️,
43,Data\groud_truth\template\lab2.2.4.create.yaml,We need a CloudFormation template that creates a S3 bucket with integrated AWS K,✅ PASSED,✅,✅,⏭️,
44,Data\groud_truth\template\VPC_With_Managed_NAT_And_Private_Subnet.yaml,We need a CloudFormation template that creates a VPC with Managed NAT. Note, you,✅ PASSED,✅,✅,⏭️,
45,Data\groud_truth\template\DataFirehoseDeliveryStream.yaml,We need a CloudFormation template that creates an Amazon Data Firehose stream wi,✅ PASSED,✅,✅,⏭️,
46,Data\groud_truth\template\recovery.yaml,We need a CloudFormation template that creates a resilient Jenkins CI/CD server ,✅ PASSED,✅,✅,⏭️,
47,Data\groud_truth\template\lab3.1.3.iamrole.yaml,We need a CloudFormation template that creates IAM roles for EC2 instances with ,✅ PASSED,✅,✅,⏭️,
48,Data\groud_truth\template\010_resources.yaml,We need a CloudFormation template that creates an AWS Glue ETL job infrastructur,✅ PASSED,✅,✅,⏭️,
49,Data\groud_truth\template\ecs_serverless_with_fargate.yaml,We need a CloudFormation template that creates a simple Amazon ECS cluster that ,✅ PASSED,✅,✅,⏭️,
50,Data\groud_truth\template\url2png-loadtest.yaml,We need a CloudFormation template that creates a scalable URL-to-PNG screenshot ,✅ PASSED,✅,✅,⏭️,
51,Data\groud_truth\template\loadbalancer.yaml,We need a CloudFormation template that creates a web server infrastructure with ,✅ PASSED,✅,✅,⏭️,
52,Data\groud_truth\template\Route53-ARC-routing-control.yaml,We need a CloudFormation template that creates a multi-region application failov,✅ PASSED,✅,✅,⏭️,
53,Data\groud_truth\template\010_emr_serverless.yaml,We need a CloudFormation template that creates an AWS EMR Serverless environment,✅ PASSED,✅,✅,⏭️,
54,Data\groud_truth\template\central_alert.yaml,We need a CloudFormation template that creates a centralized Amazon SNS topic wi,✅ PASSED,✅,✅,⏭️,
55,Data\groud_truth\template\client_security_group.yaml,We need a CloudFormation template that creates a vpc with security group.,✅ PASSED,✅,✅,⏭️,
56,Data\groud_truth\template\cognito_userpool.yaml,We need a CloudFormation template that creates a secure Amazon Cognito User Pool,✅ PASSED,✅,✅,⏭️,
57,Data\groud_truth\template\simple_ecs.yaml,We need a CloudFormation template that creates a basic Amazon ECS cluster with c,✅ PASSED,✅,✅,⏭️,
58,Data\groud_truth\template\efs_file_system.yaml,We need a CloudFormation template that creates a scalable and monitored Amazon E,✅ PASSED,✅,✅,⏭️,
59,Data\groud_truth\template\kinesis-data-stream.yaml,We need a CloudFormation template that creates an Amazon Kinesis Data Stream for,✅ PASSED,✅,✅,⏭️,
60,Data\groud_truth\template\kms-key.yaml,We need a CloudFormation template that creates an AWS KMS (Key Management Servic,✅ PASSED,✅,✅,⏭️,
61,Data\groud_truth\template\route53-hosted-zone-private.yaml,We need a CloudFormation template that creates a private Amazon Route 53 Hosted ,✅ PASSED,✅,✅,⏭️,
62,Data\groud_truth\template\rds_2db_instance.yaml,We need a CloudFormation template that creates a Amazon Aurora MySQL cluster wit,✅ PASSED,✅,✅,⏭️,
63,Data\groud_truth\template\rds_psql_export.yaml,We need a CloudFormation template that creates an Amazon Aurora MySQL cluster wi,✅ PASSED,✅,✅,⏭️,
64,Data\groud_truth\template\arch6-lab3.yaml,We need a CloudFormation template that creates a web application environment wit,✅ PASSED,✅,✅,⏭️,
65,Data\groud_truth\template\lambda_template.yaml,We need a CloudFormation template that creates a AWS Lambda function with a Node,✅ PASSED,✅,✅,⏭️,
66,Data\groud_truth\template\create_vpc_example.yaml,We need a CloudFormation template that creates a VPC with a single public subnet,✅ PASSED,✅,✅,⏭️,
67,Data\groud_truth\template\cloudwatch-config-s3-bucket.yaml,We need a CloudFormation template that creates an Amazon S3 bucket that can be m,✅ PASSED,✅,✅,⏭️,
68,Data\groud_truth\template\ssm-cloudwatch-instance-role.yaml,We need a CloudFormation template that creates an IAM role with AWS managed poli,✅ PASSED,✅,✅,⏭️,
69,Data\groud_truth\template\s3_dynamodb.yaml,We need a CloudFormation template that creates a VPC, Security Group, S3 Bucket,,✅ PASSED,✅,✅,⏭️,
70,Data\groud_truth\template\base-network.yaml,We need a CloudFormation template that creates a multi-AZ VPC with two public an,✅ PASSED,✅,✅,⏭️,
71,Data\groud_truth\template\resource-dependencies-challenge.yaml,We need a CloudFormation template that creates an EC2 instance with a security g,✅ PASSED,✅,✅,⏭️,
72,Data\groud_truth\template\code-server-stack.yaml,We need a CloudFormation template that creates a secure, web-based VS Code devel,✅ PASSED,✅,✅,⏭️,
73,Data\groud_truth\template\easy-ecs-cluster.yaml,We need a CloudFormation template that creates an Amazon ECS cluster configured ,✅ PASSED,✅,✅,⏭️,
74,Data\groud_truth\template\task-def-book.yaml,We need a CloudFormation template that creates an ECS Fargate task definition an,✅ PASSED,✅,✅,⏭️,
75,Data\groud_truth\template\CPUStressInstances.yaml,We need a CloudFormation template that creates a Windows EC2 instance and associ,✅ PASSED,✅,✅,⏭️,
76,Data\groud_truth\template\setup-users.yaml,We need a CloudFormation template that creates four IAM roles with tiered permis,✅ PASSED,✅,✅,⏭️,
77,Data\groud_truth\template\dynamo-tables.yaml,We need a CloudFormation template that creates environment-specific DynamoDB tab,✅ PASSED,✅,✅,⏭️,
78,Data\groud_truth\template\ipam.yaml,We need a CloudFormation template that creates an AWS EC2 IP Address Manager (IP,✅ PASSED,✅,✅,⏭️,
79,Data\groud_truth\template\iam-policies.yaml,We need a CloudFormation template that creates three IAM managed policies includ,✅ PASSED,✅,✅,⏭️,
80,Data\groud_truth\template\bedrock-agent-role.yaml,We need a CloudFormation template that creates an IAM role that assumable only b,✅ PASSED,✅,✅,⏭️,
81,Data\groud_truth\template\patch-resource-group.yaml,We need a CloudFormation template that creates an AWS Resource Group using tag-b,✅ PASSED,✅,✅,⏭️,
82,Data\groud_truth\template\alb-notebook-access-logsbucket.yaml,We need a CloudFormation template that creates an encrypted S3 bucket (ALBAccess,✅ PASSED,✅,✅,⏭️,
83,Data\groud_truth\template\tgw.yaml,We need a CloudFormation template that creates an AWS Transit Gateway (TGW) and ,✅ PASSED,✅,✅,⏭️,
84,Data\groud_truth\template\macie.yaml,We need a CloudFormation template that creates an AWS Macie session to enable au,✅ PASSED,✅,✅,⏭️,
85,Data\groud_truth\template\CloudWatch2S3-bucket.yaml,We need a CloudFormation template that creates a secure and cost-optimized S3 bu,✅ PASSED,✅,✅,⏭️,
86,Data\groud_truth\template\guardduty.yaml,We need a CloudFormation template that creates an AWS GuardDuty detector to enab,✅ PASSED,✅,✅,⏭️,
87,Data\groud_truth\template\essentials.yaml,We need a CloudFormation template that creates an S3 bucket for Lambda artifacts,✅ PASSED,✅,✅,⏭️,
88,Data\groud_truth\template\sc-s3-launchrole.yaml,We need a CloudFormation template that creates an IAM role for AWS Service Catal,✅ PASSED,✅,✅,⏭️,
89,Data\groud_truth\template\security-hub.yaml,We need a CloudFormation template that creates an AWS Security Hub resource that,✅ PASSED,✅,✅,⏭️,
90,Data\groud_truth\template\ec2-image-builder.yaml,We need a CloudFormation template that creates AWS resources for EC2 Image Build,✅ PASSED,✅,✅,⏭️,
91,Data\groud_truth\template\bucket_for_vpc.yaml,We need a CloudFormation template that creates a S3 bucket for storing VPC flow ,✅ PASSED,✅,✅,⏭️,
92,Data\groud_truth\template\BashScriptAssociation.yaml,We need a CloudFormation template that creates a self-configuring EC2 instance w,✅ PASSED,✅,✅,⏭️,
93,Data\groud_truth\template\BashScriptAssociationTags.yaml,We need a CloudFormation template that creates an auto-configuring EC2 instance ,✅ PASSED,✅,✅,⏭️,
94,Data\groud_truth\template\BashScriptSSMAutomation.yaml,We need a CloudFormation template that creates an EC2 instance with automated OS,✅ PASSED,✅,✅,⏭️,
95,Data\groud_truth\template\BashScriptSSMAutomationTags.yaml,We need a CloudFormation template that creates an EC2 instance with tag-driven a,✅ PASSED,✅,✅,⏭️,
96,Data\groud_truth\template\network-stack.yaml,We need a CloudFormation template that creates a production-ready VPC network in,✅ PASSED,✅,✅,⏭️,
97,Data\groud_truth\template\organization_data_pipeline.yaml,We need a CloudFormation template that creates a serverless pipeline to collect,,✅ PASSED,✅,✅,⏭️,
98,Data\groud_truth\template\web.yaml,We need a CloudFormation template that creates an AWS Amplify web application wi,✅ PASSED,✅,✅,⏭️,
99,Data\groud_truth\template\pattern3-base.yaml,We need a CloudFormation template that creates a secure, multi-AZ VPC architectu,✅ PASSED,✅,✅,⏭️,
100,Data\groud_truth\template\baseline-iam.yaml,We need a CloudFormation template that creates a standardized IAM baseline with ,✅ PASSED,✅,✅,⏭️,
101,Data\groud_truth\template\vpc-flow-logs-custom.yaml,We need a CloudFormation template that creates a VPC with flow logging configure,✅ PASSED,✅,✅,⏭️,
102,Data\groud_truth\template\risk_management.yaml,We need a CloudFormation template that creates a risk management system for AWS ,✅ PASSED,✅,✅,⏭️,
103,Data\groud_truth\template\security-lab-stack.yaml,We need a CloudFormation template that creates a secure, monitored web applicati,✅ PASSED,✅,✅,⏭️,
104,Data\groud_truth\template\sample_environment_template.yaml,We need a CloudFormation template that creates a lab environment for testing EC2,✅ PASSED,✅,✅,⏭️,
105,Data\groud_truth\template\automation_role.yaml,We need a CloudFormation template that creates an IAM role for cross-service aut,✅ PASSED,✅,✅,⏭️,
106,Data\groud_truth\template\bucket_and_notification.yaml,We need a CloudFormation template that creates an S3 bucket with event-driven no,✅ PASSED,✅,✅,⏭️,
107,Data\groud_truth\template\APIGateway_SQS_ReceiveMessages.yaml,We need a CloudFormation template that creates a REST API Gateway integrated wit,✅ PASSED,✅,✅,⏭️,
108,Data\groud_truth\template\cognito_sample.yaml,We need a CloudFormation template that creates a secure AWS Cognito user managem,✅ PASSED,✅,✅,⏭️,
109,Data\groud_truth\template\mongoDB.yaml,We need a CloudFormation template that creates an event-driven integration betwe,✅ PASSED,✅,✅,⏭️,
110,Data\groud_truth\template\crossAccResources.yaml,We need a CloudFormation template that creates a cross-account private API Gatew,✅ PASSED,✅,✅,⏭️,
111,Data\groud_truth\template\DataDogApiDestination.yaml,We need a CloudFormation template that creates an EventBridge integration with D,✅ PASSED,✅,✅,⏭️,
112,Data\groud_truth\template\sns-sqs.yaml,We need a CloudFormation template that creates an S3 bucket with an SQS queue fo,✅ PASSED,✅,✅,⏭️,
113,Data\groud_truth\template\sns_with_events.yaml,We need a CloudFormation template that creates an EventBridge rule with an SNS t,✅ PASSED,✅,✅,⏭️,
114,Data\groud_truth\template\b2bi.yaml,We need a CloudFormation template that creates an AWS B2B Data Interchange (B2BI,✅ PASSED,✅,✅,⏭️,
115,Data\groud_truth\template\sns-secretsmanager.yaml,We need a CloudFormation template that creates an automated monitoring and alert,✅ PASSED,✅,✅,⏭️,
116,Data\groud_truth\template\sns_with_sqs.yaml,We need a CloudFormation template that creates an SNS-to-SQS fanout system with ,✅ PASSED,✅,✅,⏭️,
117,Data\groud_truth\template\DynamoDB_to_EventBridge.yaml,We need a CloudFormation template that creates an event-driven integration betwe,✅ PASSED,✅,✅,⏭️,
118,Data\groud_truth\template\EventBridge_Pipes_with_API_destinations.yaml,We need a CloudFormation template that creates an EventBridge Pipes workflow to ,✅ PASSED,✅,✅,⏭️,
119,Data\groud_truth\template\event-kinesis.yaml,We need a CloudFormation template that creates an EventBridge-to-Kinesis integra,✅ PASSED,✅,✅,⏭️,
120,Data\groud_truth\template\sqs-pipes-batch-service.yaml,We need a CloudFormation template that creates an event-driven AWS Batch job pro,✅ PASSED,✅,✅,⏭️,
121,Data\groud_truth\template\eventbridge-schedule-to-ssm.yaml,We need a CloudFormation template that creates a scheduled automation workflow u,✅ PASSED,✅,✅,⏭️,
122,Data\groud_truth\template\ShopifyAPIDestination.yaml,We need a CloudFormation template that creates an EventBridge integration with S,✅ PASSED,✅,✅,⏭️,
123,Data\groud_truth\template\stripe.yaml,We need a CloudFormation template that creates an EventBridge integration with S,✅ PASSED,✅,✅,⏭️,
124,Data\groud_truth\template\api_with_dynamoDB.yaml,We need a CloudFormation template that creates a secure REST API Gateway integra,✅ PASSED,✅,✅,⏭️,
125,Data\groud_truth\template\apigateway_ses.yaml,We need a CloudFormation template that creates a secure REST API Gateway integra,✅ PASSED,✅,✅,⏭️,
126,Data\groud_truth\template\apigateway_kinesis.yaml,We need a CloudFormation template that creates a REST API Gateway integrated wit,✅ PASSED,✅,✅,⏭️,
127,Data\groud_truth\template\efs_easy.yaml,We need a CloudFormation template that creates an Amazon EFS file system with ba,✅ PASSED,✅,✅,⏭️,
128,Data\groud_truth\template\securityhub-controls.yaml,We need a CloudFormation template that creates an automated solution for managin,✅ PASSED,✅,✅,⏭️,
129,Data\groud_truth\template\config.yaml,We need a CloudFormation template that creates a secure and compliant AWS Config,✅ PASSED,✅,✅,⏭️,
130,Data\groud_truth\template\account-password-policy.yaml,We need a CloudFormation template that creates and manages an AWS account-wide I,✅ PASSED,✅,✅,⏭️,
131,Data\groud_truth\template\alert.yaml,We need a CloudFormation template that creates a centralized alerting system usi,✅ PASSED,✅,✅,⏭️,
132,Data\groud_truth\template\batch-demo.template.yaml,We need a CloudFormation template that creates an AWS Batch environment for exec,✅ PASSED,✅,✅,⏭️,
133,Data\groud_truth\template\arch7-lab1.template.yaml,We need a CloudFormation template that creates a self-contained web server envir,✅ PASSED,✅,✅,⏭️,
134,Data\groud_truth\template\lambda-demo.yaml,We need a CloudFormation template that creates a basic AWS Lambda function. The ,✅ PASSED,✅,✅,⏭️,
135,Data\groud_truth\template\cloudfront-demo-api.yaml,We need a CloudFormation template that creates a CloudFront distribution which f,✅ PASSED,✅,✅,⏭️,
136,Data\groud_truth\template\permission-boundary-demo.yaml,We need a CloudFormation template that creates an IAM role with configurable per,✅ PASSED,✅,✅,⏭️,
137,Data\groud_truth\template\appsync-demo.yaml,We need a CloudFormation template that creates an AppSync GraphQL API with a Lam,✅ PASSED,✅,✅,⏭️,
138,Data\groud_truth\template\arch-lab1-demo.yaml,We need a CloudFormation template that creates a web application environment wit,✅ PASSED,✅,✅,⏭️,
139,Data\groud_truth\template\custom-resource-example.yaml,We need a CloudFormation template that creates a custom resource using AWS Lambd,✅ PASSED,✅,✅,⏭️,
140,Data\groud_truth\template\stepfunction-calculator.yaml,We need a CloudFormation template that creates a serverless calculator workflow ,✅ PASSED,✅,✅,⏭️,
141,Data\groud_truth\template\stepfunction-recognition.yaml,We need a CloudFormation template that creates an automated image recognition pi,✅ PASSED,✅,✅,⏭️,
142,Data\groud_truth\template\systems-manager-demo.yaml,We need a CloudFormation template that creates EC2 instances managed by AWS Syst,✅ PASSED,✅,✅,⏭️,
143,Data\groud_truth\template\arch7-lab6.yaml,We need a CloudFormation template that creates a secure static website hosted on,✅ PASSED,✅,✅,⏭️,
144,Data\groud_truth\template\arch7-lab2.yaml,We need a CloudFormation template that creates a multi-tier AWS network environm,✅ PASSED,✅,✅,⏭️,
145,Data\groud_truth\template\cloudfront-demo.yaml,We need a CloudFormation template that creates a secure static website hosted on,✅ PASSED,✅,✅,⏭️,
146,Data\groud_truth\template\adv-dev-lab3.yaml,We need a CloudFormation template that creates an automated image analysis pipel,✅ PASSED,✅,✅,⏭️,
147,Data\groud_truth\template\slot-machine-website.yaml,We need a CloudFormation template that creates a serverless slot machine web app,✅ PASSED,✅,✅,⏭️,
148,Data\groud_truth\template\multiaz.yaml,We need a CloudFormation template that creates a Jenkins server deployment acros,✅ PASSED,✅,✅,⏭️,
149,Data\groud_truth\template\efs.yaml,We need a CloudFormation template that creates an Amazon EFS file system with au,✅ PASSED,✅,✅,⏭️,
150,Data\groud_truth\template\redis-minimal.yaml,We need a CloudFormation template that creates a minimal Redis caching solution ,✅ PASSED,✅,✅,⏭️,
151,Data\groud_truth\template\bedrock-agent.yaml,We need a CloudFormation template that creates an AWS Bedrock Agent integrated w,✅ PASSED,✅,✅,⏭️,
152,Data\groud_truth\template\template-rds-proxy.yaml,We need a CloudFormation template that creates a secure, scalable Amazon Aurora ,✅ PASSED,✅,✅,⏭️,
