row_index,row_number,matched,difficulty_level,total_required_resources,total_generated_resources,correct_resources,missing_resources,extra_resources,coverage_pct,accuracy_pct,intent_coverage_pct,intent_correct,intent_needed,template_empty,parse_error,gt_missing,ground_truth_path,correct_resource_types,missing_resource_types,extra_resource_types,generated_resource_types,prompt
17,17,True,3,5,6,5,0,1,100.0,83.33,,0,0,False,False,False,Data\groud_truth\template\billing-alarms.yaml,AWS::SNS::Topic;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm,,AWS::SNS::Subscription,AWS::SNS::Topic;AWS::SNS::Subscription;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm,"We need a CloudFormation template that creates multi-threshold AWS billing alarms using CloudWatch and SNS which monitor monthly AWS costs and send email alerts when spending exceeds predefined levels. The solution should deploy four CloudWatch alarms tracking the `EstimatedCharges` metric, triggering at $5, $10, $20, and $40 thresholds respectively. Configure an SNS topic with an email subscription to notify email address (xxxxx@gmail.com) when any alarm threshold is breached. Please monitor charges with alarms evaluated every 6 hours to balance responsiveness and noise reduction. "
18,19,True,3,5,6,5,0,1,100.0,83.33,,0,0,False,False,False,Data\groud_truth\template\eventbridge.yaml,AWS::Events::Connection;AWS::Events::Rule;AWS::IAM::Role;AWS::Events::EventBus;AWS::Events::ApiDestination,,AWS::SecretsManager::Secret,AWS::Events::EventBus;AWS::SecretsManager::Secret;AWS::Events::Connection;AWS::Events::ApiDestination;AWS::IAM::Role;AWS::Events::Rule,"We need a CloudFormation template that creates an Amazon EventBridge configuration to route custom events to an external API endpoint via HTTPS. The template should deploy an EventBridge event bus, an API destination ('https://webhook.site/testtest'), and a connection secured by an API key for authentication. "
19,20,True,5,14,8,7,7,1,50.0,87.5,100.0,3,3,False,False,False,Data\groud_truth\template\CloudWatch_Dashboard_ClientVPN.yaml,AWS::CloudWatch::Dashboard;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition,AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition,AWS::Logs::LogGroup,AWS::Logs::LogGroup;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::CloudWatch::Dashboard,"We need a CloudFormation template that creates a CloudWatch Dashboard and a set of CloudWatch Logs Insights queries to monitor and analyze AWS Client VPN usage patterns. The solution should aggregate metrics such as connection durations, data transfer volumes (ingress/egress), and user activity across different authentication methods (AD/SAML, Mutual Auth, and Mixed Auth). The template must organize queries into a logical folder structure and display results in a centralized dashboard with tables showing endpoint-specific usage, distinct user statistics, and authentication-type breakdowns."
20,20,True,5,14,7,6,8,1,42.86,85.71,100.0,3,3,False,False,False,Data\groud_truth\template\CloudWatch_Dashboard_ClientVPN.yaml,AWS::CloudWatch::Dashboard;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition,AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition,AWS::Logs::LogGroup,AWS::Logs::LogGroup;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::CloudWatch::Dashboard,"We need a CloudFormation template that creates a CloudWatch Dashboard and a set of CloudWatch Logs Insights queries to monitor and analyze AWS Client VPN usage patterns. The solution should aggregate metrics such as connection durations, data transfer volumes (ingress/egress), and user activity across different authentication methods (AD/SAML, Mutual Auth, and Mixed Auth). The template must organize queries into a logical folder structure and display results in a centralized dashboard with tables showing endpoint-specific usage, distinct user statistics, and authentication-type breakdowns."
21,21,True,3,6,9,5,1,4,83.33,55.56,,0,0,False,False,False,Data\groud_truth\template\ts_tables.yaml,AWS::Timestream::Table;AWS::Timestream::Table;AWS::Timestream::Table;AWS::Timestream::Table;AWS::Timestream::Database,AWS::S3::Bucket,AWS::SNS::Topic;AWS::IAM::Role;Custom::RetentionValidator;AWS::Lambda::Function,AWS::SNS::Topic;AWS::IAM::Role;AWS::Lambda::Function;AWS::Timestream::Database;AWS::Timestream::Table;AWS::Timestream::Table;AWS::Timestream::Table;AWS::Timestream::Table;Custom::RetentionValidator,"We need a CloudFormation template that creates an Amazon Timestream database and tables with configurable retention policies and error handling. The template should define four tables (poc-table-01-batch-write, poc-table-02-older-records-memonly, poc-table-03-older-records-magnetic, poc-table-04-common-attributes)."
22,22,True,2,1,1,1,0,0,100.0,100.0,,0,0,False,False,False,Data\groud_truth\template\DynamoDB_Secondary_Indexes.yaml,AWS::DynamoDB::Table,,,AWS::DynamoDB::Table,We need a CloudFormation template that creates a DynamoDB table with local and global secondary indexes.
23,23,True,2,1,1,1,0,0,100.0,100.0,,0,0,False,False,False,Data\groud_truth\template\DynamoDB_Table.yaml,AWS::DynamoDB::Table,,,AWS::DynamoDB::Table,We need a CloudFormation template that creates a DynamoDB table. 
24,24,True,5,17,17,14,3,3,82.35,82.35,,0,0,False,False,False,Data\groud_truth\template\Elasticache-snapshot.yaml,AWS::EC2::InternetGateway;AWS::EC2::Route;AWS::EC2::VPCGatewayAttachment;AWS::IAM::Role;AWS::EC2::RouteTable;AWS::EC2::VPC;AWS::Lambda::Function;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::ElastiCache::SubnetGroup;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::ElastiCache::ReplicationGroup;AWS::EC2::SecurityGroup,AWS::ElastiCache::ParameterGroup;Custom::Region;AWS::Lambda::Permission,AWS::AutoScaling::AutoScalingGroup;AWS::EC2::LaunchTemplate;AWS::EC2::SecurityGroup,AWS::EC2::VPC;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::EC2::LaunchTemplate;AWS::AutoScaling::AutoScalingGroup;AWS::ElastiCache::SubnetGroup;AWS::EC2::SecurityGroup;AWS::ElastiCache::ReplicationGroup;AWS::IAM::Role;AWS::Lambda::Function,"We need a CloudFormation template that creates a VPC containing two subnets and an auto scaling group containing instances with Internet access and ElastiCache configured with automated snapshot management and failover capabilities. It must allow optional configuration of snapshot retention policies, with a Lambda function and IAM role to enable/disable snapshotting dynamically. The template should enforce minimal infrastructure costs by defaulting to the `cache.m3.medium` instance type and include regional AZ mappings for subnet placement. "
25,25,True,3,7,6,6,1,0,85.71,100.0,,0,0,False,False,False,Data\groud_truth\template\iot_sns_sqs.yaml,AWS::SNS::Topic;AWS::SNS::Subscription;AWS::IAM::Role;AWS::SQS::QueuePolicy;AWS::IoT::TopicRule;AWS::SQS::Queue,AWS::IAM::Policy,,AWS::SQS::Queue;AWS::SNS::Topic;AWS::SNS::Subscription;AWS::IAM::Role;AWS::IoT::TopicRule;AWS::SQS::QueuePolicy,"We need a CloudFormation template that creates an IoT data pipeline to route messages from AWS IoT Core to an SQS queue via SNS. The template should deploy an SQS queue to store messages, an SNS topic to act as a pub/sub intermediary, and an IoT Rule to capture messages from the `device/data` MQTT topic. "
26,26,True,3,4,4,4,0,0,100.0,100.0,,0,0,False,False,False,Data\groud_truth\template\s3_sns.yaml,AWS::SNS::Topic;AWS::Events::Rule;AWS::SNS::TopicPolicy;AWS::S3::Bucket,,,AWS::S3::Bucket;AWS::SNS::Topic;AWS::SNS::TopicPolicy;AWS::Events::Rule,"We need a CloudFormation template that creates an S3 bucket integrated with Amazon EventBridge and SNS to notify subscribers about object creation events. The template should deploy an S3 bucket configured to send events to EventBridge, an SNS topic for message distribution, and an EventBridge rule that triggers on `Object Created` events from the bucket."
27,27,True,3,5,7,4,1,3,80.0,57.14,100.0,4,4,False,False,False,Data\groud_truth\template\sam_kinesis.yaml,AWS::Kinesis::Stream;AWS::IAM::Role;AWS::S3::Bucket;AWS::KinesisFirehose::DeliveryStream,AWS::IAM::Policy,AWS::S3::BucketPolicy;AWS::Logs::LogGroup;AWS::Logs::LogStream,AWS::Kinesis::Stream;AWS::S3::Bucket;AWS::S3::BucketPolicy;AWS::IAM::Role;AWS::Logs::LogGroup;AWS::Logs::LogStream;AWS::KinesisFirehose::DeliveryStream,"We need a CloudFormation template that creates a real-time data ingestion and storage pipeline using Amazon Kinesis Data Stream and Kinesis Data Firehose, which delivers the data to an S3 bucket. "
28,28,True,2,3,4,3,0,1,100.0,75.0,,0,0,False,False,False,Data\groud_truth\template\sns_for_secret_manager.yaml,AWS::SNS::Topic;AWS::Events::Rule;AWS::SNS::TopicPolicy,,AWS::SNS::Subscription,AWS::SNS::Topic;AWS::SNS::Subscription;AWS::Events::Rule;AWS::SNS::TopicPolicy,"We need a CloudFormation template that creates an automated monitoring and notification system for AWS Secrets Manager secret lifecycle events, which sends alerts via Amazon SNS when secrets are created, updated, or accessed. "
29,29,True,3,6,5,5,1,0,83.33,100.0,,0,0,False,False,False,Data\groud_truth\template\parameter-store-demo.yaml,AWS::Lambda::Function;AWS::IAM::Role;AWS::SecretsManager::Secret;AWS::SSM::Parameter;AWS::SSM::Parameter,AWS::IAM::Policy,,AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::SecretsManager::Secret;AWS::IAM::Role;AWS::Lambda::Function,"We need a CloudFormation template that creates secure parameter storage and retrieval workflows using AWS Systems Manager (SSM) Parameter Store and Secrets Manager which demonstrates centralized configuration management for serverless applications. The solution should define SSM Parameters under a stack-specific namespace to store non-sensitive configuration values (e.g., ""This is A/B""). Generate a Secrets Manager secret with a dynamically created password and predefined username, enforcing security constraints (e.g., excluded characters). Deploy a Lambda function to fetch and decrypt parameters/secrets using Boto3, showcasing path-based SSM parameter retrieval and Secrets Manager secret decryption workflows. Attach IAM roles/policies to grant the Lambda permissions for SSM, Secrets Manager, and CloudWatch logging, ensuring least-privilege access."
30,30,True,5,25,30,25,0,5,100.0,83.33,100.0,25,25,False,False,False,Data\groud_truth\template\efs-provisioned.yaml,AWS::EC2::InternetGateway;AWS::EC2::Route;AWS::EC2::NetworkAcl;AWS::EC2::VPCGatewayAttachment;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::VPC;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EFS::FileSystem;AWS::EFS::MountTarget;AWS::EFS::MountTarget;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::IAM::Role;AWS::EC2::RouteTable;AWS::EC2::Instance;AWS::EC2::Instance;AWS::IAM::InstanceProfile;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup,,AWS::EC2::NetworkAclEntry;AWS::IAM::Policy;AWS::SNS::Topic;AWS::SNS::Subscription;AWS::SNS::TopicPolicy,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::NetworkAcl;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EFS::FileSystem;AWS::EFS::MountTarget;AWS::EFS::MountTarget;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::IAM::Policy;AWS::EC2::Instance;AWS::EC2::Instance;AWS::SNS::Topic;AWS::SNS::TopicPolicy;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::SNS::Subscription,"We need a CloudFormation template that creates a EFS file system with cross-AZ EC2 instances and performance monitoring which provides shared storage for applications requiring multi-AZ accessibility. The solution should also launch two EC2 instances in separate AZs with IAM roles granting EFS access and SSM permissions, automating EFS mounting via user data scripts that retry until mount targets are available. Configure CloudWatch alarms to monitor EFS I/O limits and throughput utilization, triggering alerts at 95% I/O limit and 80% throughput thresholds. Note to establish a VPC with public subnets, internet gateway, and network ACLs to support EFS and EC2 connectivity while enforcing security group rules for controlled NFS access. Use cfn-signal and CreationPolicies to ensure instances successfully mount EFS before stack completion, avoiding partial deployments.  "
